NUTS3,Year,SPO,OVP,FPO,LIF,GRUNE,N,ForumHandicap,KPO,Electorate,Votes,Validvotes,Invalidvotes
AT111,1996,9210,8509,4154,432,567,116,156,53,30553,24087,23197,890
AT112,1996,30372,24426,17410,2305,2672,503,522,213,105808,81450,78423,3027
AT113,1996,20580,19321,12834,1168,1513,318,320,118,77317,58379,56172,2207
AT121,1996,32133,50453,27241,3642,6575,2040,649,421,172527,130064,123154,6910
AT122,1996,45370,36583,30786,4757,5757,1708,981,803,179223,133013,126745,6268
AT123,1996,24786,23846,16406,3065,4260,1090,535,414,103065,78877,74402,4475
AT124,1996,30150,54125,28071,3589,4790,1476,624,447,172477,130900,123272,7628
AT125,1996,17502,31385,13670,1877,2306,720,388,213,94348,71737,68061,3676
AT126,1996,37536,47132,32212,7155,8390,1801,1168,594,196006,141734,135988,5746
AT127,1996,45151,39188,35092,8806,9538,1867,1383,723,206861,146502,141748,4754
AT130,1996,250621,160440,179487,48362,74236,10689,7267,5072,1118096,767248,736174,31074
AT211,1996,43908,22670,48607,3828,6021,1067,1821,566,202070,132204,128488,3716
AT212,1996,19923,14428,23877,1224,1909,490,1054,163,98810,64692,63068,1624
AT213,1996,29319,15455,28291,1666,2424,598,658,209,122514,81247,78620,2627
AT221,1996,38744,41310,47189,8151,14645,1867,1774,1103,274782,157725,154783,2942
AT222,1996,12150,10386,10373,872,1595,525,465,112,61332,37430,36478,952
AT223,1996,39830,17472,24545,2791,4459,946,1197,864,143721,94474,92104,2370
AT224,1996,26702,57135,35785,2504,5252,1174,722,278,199285,133541,129552,3989
AT225,1996,26671,26648,26608,1995,3433,725,573,325,144390,89192,86978,2214
AT226,1996,17194,15002,15365,1278,2131,577,565,527,85045,53892,52639,1253
AT311,1996,27918,45090,42235,3002,6825,1775,713,381,193423,132898,127939,4959
AT312,1996,77860,60181,69212,10869,18139,2864,2005,1020,375602,248538,242150,6388
AT313,1996,25866,44034,20492,2399,5441,1553,566,290,140814,104715,100641,4074
AT314,1996,23073,21502,21419,2401,4828,1129,547,269,109325,77657,75168,2489
AT315,1996,30653,30146,30252,3569,6867,2413,845,430,160430,109586,105175,4411
AT321,1996,2090,3349,3135,227,388,114,77,13,15475,9668,9393,275
AT322,1996,21799,23168,21597,2076,3463,580,487,172,109324,75738,73342,2396
AT323,1996,30421,38338,44014,7221,12613,1669,1242,496,226006,140456,136014,4442
AT331,1996,1789,4653,4153,393,698,163,62,28,20744,12119,11939,180
AT332,1996,18445,30622,37110,6517,12374,1313,1094,561,185605,109934,108036,1898
AT333,1996,2944,10277,5222,582,1232,234,162,58,37084,21253,20711,542
AT334,1996,5245,14569,9439,1110,2028,383,261,83,63470,33866,33118,748
AT335,1996,15310,26379,31041,3095,5601,1070,699,237,153103,85089,83432,1657
AT341,1996,4397,13479,10415,1189,2560,801,186,63,56872,33484,33090,394
AT342,1996,13485,33260,32663,5087,8933,1972,641,209,168009,97168,96250,918
AT11,1996,60162,52256,34398,3905,4752,937,998,384,213678,163916,157792,6124
AT12,1996,232628,282712,183478,32891,41616,10702,5728,3615,1124507,832827,793370,39457
AT13,1996,250621,160440,179487,48362,74236,10689,7267,5072,1118096,767248,736174,31074
AT21,1996,93150,52553,100775,6718,10354,2155,3533,938,423394,278143,270176,7967
AT22,1996,161291,167953,159865,17591,31515,5814,5296,3209,908555,566254,552534,13720
AT31,1996,185370,200953,183610,22240,42100,9734,4676,2390,979594,673394,651073,22321
AT32,1996,54310,64855,68746,9524,16464,2363,1806,681,350805,225862,218749,7113
AT33,1996,43733,86500,86965,11697,21933,3163,2278,967,460006,262261,257236,5025
AT34,1996,17882,46739,43078,6276,11493,2773,827,272,224881,130652,129340,1312
AT1,1996,543411,495408,397363,85158,120604,22328,13993,9071,2456281,1763991,1687336,76655
AT2,1996,254441,220506,260640,24309,41869,7969,8829,4147,1331949,844397,822710,21687
AT3,1996,301295,399047,382399,49737,91990,18033,9587,4310,2015286,1292169,1256398,35771
AT,1996,1099147,1114961,1040402,159204,254463,48330,32409,17528,5803516,3900557,3766444,134113
