NUTSID,NUTSName,Year,OVP,SPO,FPO,Grune,LIF,CSA,KPO,Personsentitledtovote,Voters,Validvotes,Invalidvotes
AT111,Mittelburgenland,1999,7534,8930,3128,634,232,192,56,30356,21532,20706,826
AT112,Nordburgenland,1999,22459,29452,12698,3150,1052,707,280,106947,72403,69798,2605
AT113,Südburgenland,1999,16993,18890,8514,1792,500,367,126,77495,49010,47182,1828
AT121,Mostviertel-Eisenwurzen,1999,43544,31469,20353,7634,1583,1341,494,175360,112821,106418,6403
AT122,Niederösterreich-Süd,1999,32163,44089,22391,6538,1993,1630,865,181640,114934,109669,5265
AT123,Sankt Pölten,1999,19477,21636,11917,4758,1381,803,475,104658,63854,60447,3407
AT124,Waldviertel,1999,48919,29453,20682,6213,1561,1196,514,172802,114961,108538,6423
AT125,Weinviertel,1999,27929,16545,10874,2948,771,786,251,94651,63471,60104,3367
AT126,Wiener Umland/Nordteil,1999,40996,35106,24929,10543,3565,1798,797,200514,122699,117734,4965
AT127,Wiener Umland/Südteil,1999,32939,41421,25215,11373,4260,1813,900,210451,121840,117921,3919
AT130,Wien,1999,90327,156379,100439,68206,24620,7684,6773,1107978,464385,454428,9957
AT211,Klagenfurt-Villach,1999,16550,31482,30405,5918,1503,1222,498,203749,89551,87578,1973
AT212,Oberkäntern,1999,10821,14556,15367,1728,499,569,122,99412,44515,43662,853
AT213,Unterkäntern,1999,10879,19600,16662,2142,601,596,194,121486,51863,50674,1189
AT221,Graz,1999,27815,27930,26598,13705,4221,2228,1604,276824,105533,104101,1432
AT222,Liezen,1999,7582,10047,6614,1534,387,402,126,61818,27221,26692,529
AT223,Östliche Obersteiermark,1999,12202,31143,14593,4029,1047,827,635,141461,65735,64476,1259
AT224,Oststeiermark,1999,38922,22031,23298,5362,1176,1588,395,202342,95826,92772,3054
AT225,West-und Südsteiermark,1999,18520,19748,16394,3378,807,922,303,146336,61506,60072,1434
AT226,Westliche Obersteiermark ,1999,11140,14210,9603,2245,522,502,405,84862,39366,38627,739
AT311,Innviertel,1999,37054,24064,30891,7171,1442,1362,407,196388,106359,102391,3968
AT312,Linz-Wels,1999,50820,66429,48927,19961,4860,2369,1305,377914,199998,194671,5327
AT313,Mühlviertel,1999,37846,23675,16232,5816,964,1035,312,144337,89575,85880,3695
AT314,Steyr-Kirchdorf,1999,18183,20867,15151,5176,1044,697,298,110061,63609,61416,2193
AT315,Traunviertel,1999,25580,27724,21433,7515,1684,1087,529,162697,89378,85552,3826
AT321,Lungau,1999,2393,1527,1876,369,78,115,13,15689,6502,6371,131
AT322,Pinzgau-Pongau,1999,16849,15882,10590,3018,738,732,146,111508,49100,47955,1145
AT323,Salzburg und Umgebung,1999,28625,22846,22501,12082,2808,2075,521,229361,93727,91458,2269
AT331,Außerfern,1999,3339,1570,1571,793,126,195,26,21164,7726,7620,106
AT332,Innsbruck,1999,21780,14873,14888,11472,2496,1671,399,188100,68382,67579,803
AT333,Osttirol,1999,6724,2022,2598,1166,231,923,27,37618,13934,13691,243
AT334,Tiroler Oberland,1999,9782,4541,3560,1796,411,411,79,65452,20900,20580,320
AT335,Tiroler Unterland,1999,19185,12389,13435,5757,1169,1003,165,156670,53765,53103,662
AT341,Bludenz-Bregenzer Wald,1999,10124,5007,6704,2241,565,465,68,57846,25436,25174,262
AT342,Rheintal-Bodenseegebiet,1999,25317,14624,21499,8968,2266,1149,253,171713,74752,74076,676
ATZZZ,Wahlkarten (Ausland),1999,7863,6181,2989,3142,1304,622,136,,22564,22237,327
AT11,Burgenland,1999,46986,57272,24340,5576,1784,1266,462,214798,142945,137686,5259
AT12,Niederösterreich,1999,245967,219719,136361,50007,15114,9367,4296,1140076,714580,680831,33749
AT13,Wien,1999,90327,156379,100439,68206,24620,7684,6773,1107978,464385,454428,9957
AT21,Käntern,1999,38250,65638,62434,9788,2603,2387,814,424647,185929,181914,4015
AT22,Steiermark,1999,116181,125109,97100,30253,8160,6469,3468,913643,395187,386740,8447
AT31,Oberösterreich,1999,169483,162759,132634,45639,9994,6550,2851,991397,548919,529910,19009
AT32,Salzburg,1999,47867,40255,34967,15469,3624,2922,680,356558,149329,145784,3545
AT33,Tirol,1999,60810,35395,36052,20984,4433,4203,696,469004,164707,162573,2134
AT34,Vorarlberg,1999,35441,19631,28203,11209,2831,1614,321,229559,100188,99250,938
ATZZ,Wahlkarten (Ausland),1999,7863,6181,2989,3142,1304,622,136,,22564,22237,327
AT1,Ostösterreich,1999,383280,433370,261140,123789,41518,18317,11531,2462852,1321910,1272945,48965
AT2,Südösterreich,1999,154431,190747,159534,40041,10763,8856,4282,1338290,581116,568654,12462
AT3,Westösterreich,1999,313601,258040,231856,93301,20882,15289,4548,2046518,963143,937517,25626
ATZ,Wahlkarten (Ausland),1999,7863,6181,2989,3142,1304,622,136,,22564,22237,327
AT,AUSTRIA,1999,859175,888338,655519,260273,74467,43084,20497,5847660,2888733,2801353,87380
