NUTSID,NUTSName,Year,SPO,OVP,FPO,GRUNE,LINKE,MARTIN,Personsentitledtovote,Votes,Validvotes,Invalidvotes
AT111,Mittelburgenland,2004,8667,6890,574,875,57,2087,30408,19686,19150,536
AT112,Nordburgenland,2004,28108,19952,2572,4161,243,8108,111465,64951,63144,1807
AT113,Südburgenland,2004,17331,15512,1615,2196,162,4770,78332,42883,41586,1297
AT121,Mostviertel-Eisenwurzen,2004,29731,43003,3506,7288,377,12592,181824,100574,96497,4077
AT122,Niederösterreich-Süd,2004,39914,30179,3695,7406,517,15088,186781,100447,96799,3648
AT123,Sankt Pölten,2004,20681,18478,2228,5470,299,8417,109129,57721,55573,2148
AT124,Waldviertel,2004,27685,47228,3627,6751,381,12831,174946,102727,98503,4224
AT125,Weinviertel,2004,16537,26429,1894,3244,203,7481,96630,57803,55788,2015
AT126,Wiener Umland/Nordteil,2004,34436,38346,5017,13337,647,18260,214209,113460,110043,3417
AT127,Wiener Umland/Südteil,2004,39057,29575,5313,14913,684,17995,222493,110356,107537,2819
AT130,Wien,2004,150151,75674,21992,88600,6757,55470,1124890,405208,398644,6564
AT211,Klagenfurt-Villach,2004,25953,14069,13531,8253,561,9849,208531,74124,72216,1908
AT212,Oberkäntern,2004,12400,9522,7694,2384,118,4365,101817,37387,36483,904
AT213,Unterkäntern,2004,16189,9645,7880,2731,152,4673,123273,42341,41270,1071
AT221,Graz ,2004,27725,28213,6704,17110,1277,10203,288609,92862,91232,1630
AT222,Liezen,2004,9824,7845,2215,1892,101,2927,62780,25268,24804,464
AT223,Östliche Obersteiermark,2004,29437,11314,3162,3716,297,8108,139262,57167,56034,1133
AT224,Oststeiermark,2004,20263,39668,4688,5581,357,8268,209815,81028,78825,2203
AT225,West- und Südsteiermark,2004,19367,18832,3137,3319,255,6150,150561,52167,51060,1107
AT226,Westliche Obersteiermark,2004,13555,11084,2155,1989,195,4630,85362,34319,33608,711
AT311,Innviertel,2004,22235,34874,7404,7443,368,9997,204140,85233,82321,2912
AT312,Linz-Wels,2004,62861,44912,9479,22338,1328,24425,394560,169771,165343,4428
AT313,Mühlviertel,2004,23566,33787,2911,6585,357,8230,152171,78113,75436,2677
AT314,Steyr-Kirchdorf,2004,18647,16659,3073,5304,279,7275,113974,52813,51237,1576
AT315,Traunviertel,2004,25215,23610,4741,8467,498,10708,169706,75895,73239,2656
AT321,Lungau,2004,1305,2277,513,457,17,767,15936,5478,5336,142
AT322,Pinzgau-Pongau,2004,14007,16328,2554,3931,150,7062,115951,45168,44032,1136
AT323,Salzburg und Umgebung,2004,21441,29904,6492,16385,810,13572,240423,90940,88604,2336
AT331,Außerfern,2004,1108,3395,317,842,25,1110,22022,6921,6797,124
AT332,Innsbruck,2004,13856,22928,3595,16489,745,11473,199386,70323,69086,1237
AT333,Osttirol,2004,1828,7401,687,1522,70,1948,38546,13769,13456,313
AT334,Tiroler Oberland,2004,3906,11067,698,2233,81,3120,69680,21507,21105,402
AT335,Tiroler Unterland,2004,10878,21849,3065,7111,230,9226,165624,53375,52359,1016
AT341,Bludenz-Bregenzer,2004,3743,9912,1626,2573,87,3489,61008,21697,21430,267
AT342,Rheintal-Bodenseegebiet,2004,12360,24377,5518,11294,344,11085,184885,65844,64978,866
ATZZZ,Abroad (Wahlkarten),2004,9550,12978,1850,8239,501,3937,,37313,37055,258
AT11,Burgenland,2004,54106,42354,4761,7232,462,14965,220205,127520,123880,3640
AT12,Niederösterreich,2004,208041,233238,25280,58409,3108,92664,1186012,643088,620740,22348
AT13,Wien,2004,150151,75674,21992,88600,6757,55470,1124890,405208,398644,6564
AT21,Käntern,2004,54542,33236,29105,13368,831,18887,433621,153852,149969,3883
AT22,Steiermark,2004,120171,116956,22061,33607,2482,40286,936389,342811,335563,7248
AT31,Oberösterreich,2004,152524,153842,27608,50137,2830,60635,1034551,461825,447576,14249
AT32,Salzburg,2004,36753,48509,9559,20773,977,21401,372310,141586,137972,3614
AT33,Tirol,2004,31576,66640,8362,28197,1151,26877,495258,165895,162803,3092
AT34,Vorarlberg,2004,16103,34289,7144,13867,431,14574,245893,87541,86408,1133
ATZZ,Wahlkarten (Ausland),2004,9550,12978,1850,8239,501,3937,0,37313,37055,258
AT1,Ostösterreich,2004,412298,351266,52033,154241,10327,163099,2531107,1175816,1143264,32552
AT2,Südösterreich,2004,174713,150192,51166,46975,3313,59173,1370010,496663,485532,11131
AT3,Westösterreich,2004,236956,303280,52673,112974,5389,123487,2148012,856847,834759,22088
ATZ,Wahlkarten (Ausland),2004,9550,12978,1850,8239,501,3937,0,37313,37055,258
AT,AUSTRIA,2004,833517,817716,157722,322429,19530,349696,6049129,2566639,2500610,66029
