NUTSID,Year,SPO,OVP,MARTIN,GRUNE,FPO,KPO,JuLis,BZO,Electorate,Votes,Validvotes,Invalidvotes
AT111,2009,6573,6002,2587,603,1537,39,54,327,31336,18240,17722,518
AT112,2009,20628,17270,10336,3061,7440,212,265,1380,119424,62431,60592,1839
AT113,2009,12942,13130,6121,1521,4774,140,139,986,80938,40945,39753,1192
AT121,2009,22063,41849,16525,5674,12836,385,524,3191,192874,106494,103047,3447
AT122,2009,27711,28013,19947,5250,14830,534,496,3128,196882,102769,99909,2860
AT123,2009,15031,18340,10590,4058,7833,311,389,1666,115656,59932,58218,1714
AT124,2009,19100,45935,15373,4785,9982,364,454,2789,181886,102256,98782,3474
AT125,2009,11496,24271,9488,2391,6350,176,203,1200,101485,57257,55575,1682
AT126,2009,26201,38243,23805,10716,15576,656,911,3360,235743,122436,119468,2968
AT127,2009,30142,30148,24086,11156,15921,668,975,3756,241763,119512,116852,2660
AT130,2009,140317,89500,77858,83525,75271,6039,5814,12854,1162709,498531,491178,7353
AT211,2009,18101,12399,13861,6616,5015,396,403,14076,218507,72234,70867,1367
AT212,2009,8261,8306,6095,1545,2272,107,204,8562,105220,36084,35352,732
AT213,2009,10700,8974,6383,2111,2702,134,120,8744,126609,40742,39868,874
AT221,2009,22318,28209,17161,16863,14254,1331,1214,5697,305132,108598,107047,1551
AT222,2009,6724,7293,4083,1244,2882,114,108,1184,64669,24030,23632,398
AT223,2009,20261,10098,12330,2565,7376,465,290,2300,139279,56556,55685,871
AT224,2009,14533,37258,12134,4806,10403,402,348,4032,219851,85708,83916,1792
AT225,2009,13517,17727,9614,2877,6939,282,226,3429,157275,55623,54611,1012
AT226,2009,9489,10136,6830,1411,3786,251,128,2168,86413,34701,34199,502
AT311,2009,17811,36894,14314,6046,16536,351,435,4529,215614,99415,96916,2499
AT312,2009,52891,47585,35678,18484,26881,1311,1144,7945,415782,195872,191919,3953
AT313,2009,18459,34766,12297,5718,9228,364,350,2888,162943,86577,84070,2507
AT314,2009,14814,16765,10539,4397,7745,282,250,2801,119493,59075,57593,1482
AT315,2009,20234,24068,15190,6968,12455,457,501,3711,179649,85966,83584,2382
AT321,2009,942,2316,1254,292,861,16,22,317,16589,6102,6020,82
AT322,2009,9791,15587,10670,2519,5653,123,184,1768,122578,47393,46295,1098
AT323,2009,17390,29342,19132,12093,11283,686,742,4348,253182,97239,95016,2223
AT331,2009,740,3153,1432,539,552,23,44,213,23108,6776,6696,80
AT332,2009,10921,22308,15634,12470,9338,501,799,2773,212654,75675,74744,931
AT333,2009,1258,6348,2199,944,1110,44,74,649,40174,12830,12626,204
AT334,2009,2532,10855,4888,1763,2217,89,129,781,75486,23525,23254,271
AT335,2009,7965,21111,13266,4709,7670,211,344,2231,177427,58256,57507,749
AT341,2009,2868,10076,4238,2222,2658,68,162,1030,64592,23612,23322,290
AT342,2009,10134,25295,15002,9660,9119,295,572,3546,199839,74442,73623,819
ATZZZ,2009,50144,74545,33998,33507,18566,1749,2381,8201,,225755,223091,2664
ATZZ,2009,50144,74545,33998,33507,18566,1749,2381,8201,,225755,223091,2664
ATZ,2009,50144,74545,33998,33507,18566,1749,2381,8201,,225755,223091,2664
AT11,2009,40143,36402,19044,5185,13751,391,458,2693,231698,121616,118067,3549
AT12,2009,151744,226799,119814,44030,83328,3094,3952,19090,1266289,670656,651851,18805
AT13,2009,125356,74306,69012,72921,69627,5389,5084,11555,1162709,440074,433250,6824
AT21,2009,37062,29679,26339,10272,9989,637,727,31382,450336,149060,146087,2973
AT22,2009,86842,110721,62152,29766,45640,2845,2314,18810,972619,365216,359090,6126
AT31,2009,124209,160078,88018,41613,72845,2765,2680,21874,1093481,526905,514082,12823
AT32,2009,28123,47245,31056,14904,17797,825,948,6433,392349,150734,147331,3403
AT33,2009,23416,63775,37419,20425,20887,868,1390,6647,528849,177062,174827,2235
AT34,2009,13002,35371,19240,11882,11777,363,734,4576,264431,98054,96945,1109
AT1,2009,317243,337507,207870,122136,166706,8874,9494,33338,2660696,1232346,1203168,29178
AT2,2009,123904,140400,88491,40038,55629,3482,3041,50192,1422955,514276,505177,9099
AT3,2009,188750,306469,175733,88824,123306,4821,5752,39530,2279110,952755,933185,19570
AT,2009,680041,858921,506092,284505,364207,18926,20668,131261,6362761,2925132,2864621,60511
