NUTSID,NUTSName,CVP,PS,VLD,SP,PRLFDF,VLAAMSBLOK,PSC,AGALEV,ECOLO,VU,FN,WOW,AGIR,PVDAPTB,GU,BEB,NWP,PTBPVDA,RGB,SUD,CSPEVP,LETD,PFF,PHHP,PDB,SP.,JUROPA,PAB,Electorate,Votes,Validvotes,Invalidvotes
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,70975,65054,53966,29708,152428,38012,45823,23520,58853,22804,41982,6558,3181,1709,9974,2633,962,3525,1075,2104,0,1787,0,1170,0,0,0,0,808909,689755,637803,51952
BE21,Prov. Antwerpen,255927,0,154190,168491,0,172940,0,123354,0,60750,0,49424,0,14845,0,6458,6242,0,5700,0,0,0,0,0,0,0,0,0,1203541,1097294,1018321,78973
BE22,Prov. Limburg (B),138732,0,81069,93924,0,49652,0,45229,0,30207,0,13154,0,5501,0,1647,2643,0,1079,0,0,0,0,0,0,0,0,0,540013,509063,462837,46226
BE23,Prov. Oost-Vlaanderen,239558,0,177165,157382,0,100957,0,91335,0,62024,0,25372,0,9939,0,7040,4322,0,4091,0,0,0,0,0,0,0,0,0,1037706,958068,879185,78883
BE24,Prov. Vlaams-Brabant,90208,4442,70725,76677,10846,39485,2459,41080,3875,31621,2838,10786,269,3551,616,2868,2101,220,1531,189,0,150,0,191,0,0,0,0,479545,437722,396728,40994
BE25,Prov. West-Vlaanderen,217866,0,141306,125189,0,62873,0,71680,0,54637,0,22210,0,6271,0,3486,3660,0,2073,0,0,0,0,0,0,0,0,0,861493,794458,711251,83207
BE31,Prov. Brabant Wallon,0,42324,0,0,66063,0,33230,0,29476,0,12864,0,1129,0,3318,0,0,1019,0,2499,0,688,0,426,0,0,0,0,231739,208273,193036,15237
BE32,Prov. Hainaut,0,261114,0,0,124122,0,130390,0,81571,0,65845,0,7234,0,11410,0,0,7012,0,3899,0,2854,0,2547,0,0,0,0,868740,779191,697998,81193
BE33,Prov. Liège,0,197262,0,0,103552,0,103912,0,65172,0,24276,0,27047,0,7768,0,0,3752,0,3122,0,2125,0,1171,0,0,0,0,647008,580914,539159,41755
BE34,Prov. Luxembourg,0,34326,0,0,31257,0,43863,0,17108,0,6519,0,1652,0,840,0,0,428,0,625,0,444,0,243,0,0,0,0,171483,156948,137305,19643
BE35,Prov. Namur,0,75620,0,0,53456,0,60521,0,34804,0,21408,0,2405,0,2051,0,0,1498,0,1616,0,774,0,637,0,0,0,0,315601,284668,254790,29878
BEZZ,Germanophone,0,0,0,0,0,0,0,0,5714,0,0,0,0,0,0,0,0,0,0,0,11999,0,7690,0,5945,4820,1969,205,45533,41614,38342,3272
BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,70975,65054,53966,29708,152428,38012,45823,23520,58853,22804,41982,6558,3181,1709,9974,2633,962,3525,1075,2104,0,1787,0,1170,0,0,0,0,808909,689755,637803,51952
BE2,Vlaams Gewest,942291,4442,624455,621663,10846,425907,2459,372678,3875,239239,2838,120946,269,40107,616,21499,18968,220,14474,189,0,150,0,191,0,0,0,0,4122298,3796605,3468322,328283
BE3,Région Wallonne,0,610646,0,0,378450,0,371916,0,228131,0,130912,0,39467,0,25387,0,0,13709,0,11761,0,6885,0,5024,0,0,0,0,2234571,2009994,1822288,187706
BEZ,Germanophone,0,0,0,0,0,0,0,0,5714,0,0,0,0,0,0,0,0,0,0,0,11999,0,7690,0,5945,4820,1969,205,45533,41614,38342,3272
BE,Belgium,1013266,680142,678421,651371,541724,463919,420198,396198,296573,262043,175732,127504,42917,41816,35977,24132,19930,17454,15549,14054,11999,8822,7690,6385,5945,4820,1969,205,7211311,6537968,5966755,571213
