NUTSID,NUTSName,Year,VLD,CVP,PRLFDF,PS,VLAAMSBLOK,SP,ECOLO,VUID,AGAGRO,PSC,FN,VIVANT,VIVANT.,DEBOUT,PC,FNB,CSPEVP,PVDAAE,PNPB,PNPb.,SoLiDe,PFF,ECOLO.,SP.,P.D.B.,PCN,VIVANT..DE,JUROPA,PABAE,Electorate,Votes,Validvotes,Invalidvotes
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,1999,62852,50075,148295,71881,43920,22546,115402,33037,29376,40155,13457,3513,8918,5367,4022,6939,0,680,921,1496,431,0,0,0,0,420,0,0,0,812202,693551,663703,29848
BE21,Prov. Antwerpen,1999,210241,209038,0,0,205313,132320,0,121126,144597,0,0,21533,0,0,0,0,0,8565,2993,0,3095,0,0,0,0,0,0,0,0,1216894,1107243,1058821,48422
BE22,Prov. Limburg (B),1999,99774,115744,0,0,62773,92806,0,59759,54263,0,0,6714,0,0,0,0,0,3383,4371,0,1170,0,0,0,0,0,0,0,0,566316,534808,500757,34051
BE23,Prov. Oost-Vlaanderen,1999,221002,197950,0,0,135859,117678,0,118535,104914,0,0,15854,0,0,0,0,0,5000,2746,0,2082,0,0,0,0,0,0,0,0,1052578,978042,921620,56422
BE24,Prov. Vlaams-Brabant,1999,93807,74755,11734,3501,51469,61952,6915,48947,51986,1877,794,8477,893,531,219,289,0,1586,2094,126,951,0,0,0,0,62,0,0,0,491377,449906,422965,26941
BE25,Prov. West-Vlaanderen,1999,159423,192158,0,0,85058,122935,0,89834,78906,0,0,11016,0,0,0,0,0,2752,3970,0,1799,0,0,0,0,0,0,0,0,876372,813688,747851,65837
BE31,Prov. Brabant Wallon,1999,0,0,74921,37802,0,0,50905,0,0,24910,6050,0,5149,3633,959,1406,0,0,0,972,0,0,0,0,0,153,0,0,0,243580,220459,206860,13599
BE32,Prov. Hainaut,1999,0,0,152972,229646,0,0,135543,0,0,89357,40184,0,17357,21319,8858,9502,0,0,0,2658,0,0,0,0,0,1065,0,0,0,877214,792125,708461,83664
BE33,Prov. Liège,1999,0,0,127253,162043,0,0,123283,0,0,73700,18989,0,14457,9664,9426,4820,0,0,0,3878,0,0,0,0,0,616,0,0,0,660345,592219,548129,44090
BE34,Prov. Luxembourg,1999,0,0,40635,26186,0,0,32414,0,0,33324,3949,0,2383,1249,794,534,0,0,0,499,0,0,0,0,0,149,0,0,0,176585,161146,142116,19030
BE35,Prov. Namur,1999,0,0,68635,65508,0,0,60854,0,0,44589,11425,0,5976,4325,1261,1302,0,0,0,829,0,0,0,0,0,255,0,0,0,324352,295820,264959,30861
BEZZ,Germanophone,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13456,0,0,0,0,7234,6276,4215,3661,0,1198,788,72,45649,41072,36900,4172
BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,1999,62852,50075,148295,71881,43920,22546,115402,33037,29376,40155,13457,3513,8918,5367,4022,6939,0,680,921,1496,431,0,0,0,0,420,0,0,0,812202,693551,663703,29848
BE2,Vlaams Gewest,1999,784247,789645,11734,3501,540472,527691,6915,438201,434666,1877,794,63594,893,531,219,289,0,21286,16174,126,9097,0,0,0,0,62,0,0,0,4203537,3883687,3652014,231673
BE3,Région Wallonne,1999,0,0,464416,521185,0,0,402999,0,0,265880,80597,0,45322,40190,21298,17564,0,0,0,8836,0,0,0,0,0,2238,0,0,0,2282076,2061769,1870525,191244
BEZ,Germanophone,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13456,0,0,0,0,7234,6276,4215,3661,0,1198,788,72,45649,41072,36900,4172
BE,Belgium,1999,847099,839720,624445,596567,584392,550237,525316,471238,464042,307912,94848,67107,55133,46088,25539,24792,13456,21966,17095,10458,9528,7234,6276,4215,3661,2720,1198,788,72,7343464,6686220,6223142,463078
