ID,Name,Year,sp.a,SLP,NVA,GROEN,VlaamsBelang,CDV,OpenVld,LijstDedecker,CAP,LSP,PVDA,PS,CDH,MR,ECOLO,R.W.F.,FN,PTB,PCGE,MS,LCRPSL,CAPDORAZIO,WALLONIEDABORD,SP,CSP,PFF,ECOLO_G,EUROPAderWERTE,ProDG,VIVANT,Electorate,Votes,Validvotes,Invalidvotes
Antwerp,Antwerp,2009,57074,2340,24032,34732,66003,35262,46760,10815,567,775,6535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335113,294848,284895,9953
Arendonk,Arendonk,2009,2683,115,4600,1475,4288,9703,3573,1501,47,54,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31744,29920,28207,1713
Boom,Boom,2009,7094,156,3478,2734,9156,7905,6103,2078,73,82,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44666,40927,39315,1612
Brecht,Brecht,2009,5814,312,7199,4208,11548,16720,10582,3307,87,120,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69115,63266,60426,2840
Duffel,Duffel,2009,3135,149,4154,2744,6124,9283,6614,2375,47,82,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40102,36469,34934,1535
Heist-op-den-Berg,Heist-op-den-Berg,2009,5466,361,5330,3504,9680,14837,10278,4298,104,100,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61929,57728,54544,3184
Herentals,Herentals,2009,7566,405,7903,4865,11513,20804,11075,4624,137,137,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78539,73641,69664,3977
Hoogstraten,Hoogstraten,2009,1703,116,2258,1641,3724,8600,4820,1293,21,39,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500,25707,24389,1318
Kapellen,Kapellen,2009,7751,538,9397,5763,17378,12917,16947,3489,108,169,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86362,78063,75315,2748
Kontich,Kontich,2009,8477,485,10657,9470,14370,17285,17327,3827,112,158,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93271,85170,82897,2273
Lier,Lier,2009,3828,232,3016,2634,6051,6486,6273,2051,48,61,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35308,32479,30978,1501
Mechelen,Mechelen,2009,12763,380,6083,6301,12977,11877,12322,3367,105,197,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76327,69633,66974,2659
Mol,Mol,2009,9603,292,8982,4039,11882,19571,9147,4294,104,161,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78421,72953,68633,4320
Puurs,Puurs,2009,3315,104,2642,2280,5008,11088,5242,1559,37,35,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35315,32654,31550,1104
Turnhout,Turnhout,2009,6856,290,6377,4359,9354,14415,7642,2872,89,93,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59736,55408,52876,2532
Westerlo,Westerlo,2009,4276,221,4988,2533,8459,12723,6334,3452,99,104,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50311,46717,43582,3135
Zandhoven,Zandhoven,2009,4454,389,8459,5200,12715,14055,13258,3445,96,130,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71607,65068,62702,2366
Anderlecht,Anderlecht,2009,1315,48,388,742,2021,1353,2393,379,22,24,74,14411,6515,11761,10026,204,1849,513,131,57,228,165,315,0,0,0,0,0,0,0,70179,59305,54934,4371
Asse,Asse,2009,6389,251,11727,5576,13247,17874,20593,5209,70,121,438,2076,1213,3718,2748,94,412,108,28,29,47,38,235,0,0,0,0,0,0,0,104822,95875,92241,3634
Brussels,Brussels,2009,1433,65,495,1941,1503,1336,3112,381,15,25,183,16098,8531,11723,11878,181,1257,625,181,64,326,135,293,0,0,0,0,0,0,0,79726,65874,61781,4093
Ixelles,Ixelles,2009,504,21,221,829,564,770,2566,147,19,15,53,8860,5165,18805,18532,282,839,523,221,44,495,122,303,0,0,0,0,0,0,0,74581,62524,59900,2624
Lennik,Lennik,2009,1973,108,3380,1770,4789,7941,6757,2164,25,25,134,284,194,576,460,16,58,15,14,17,8,13,54,0,0,0,0,0,0,0,35691,33037,30775,2262
Meise,Meise,2009,4318,202,6518,4269,8569,11691,12097,3062,33,49,268,1325,912,4271,2758,68,305,55,14,22,33,34,252,0,0,0,0,0,0,0,71547,65022,61125,3897
Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,2009,1932,53,563,1370,2390,1542,3901,453,24,50,162,20216,10538,16749,14534,246,1997,947,189,87,289,200,380,0,0,0,0,0,0,0,100275,84369,78812,5557
Saint-Gilles,Saint-Gilles,2009,216,11,48,368,156,132,430,50,6,7,30,5319,1488,2337,4914,42,249,248,110,14,228,61,74,0,0,0,0,0,0,0,20653,17528,16538,990
Saint-Josse-ten-Noode ,Saint-Josse-ten-Noode ,2009,674,45,282,882,866,1310,3254,227,10,17,54,9844,9208,23367,17366,303,995,438,184,55,288,160,284,0,0,0,0,0,0,0,85690,73531,70113,3418
Schaerbeek ,Schaerbeek ,2009,1092,48,265,1255,1259,922,2653,196,23,21,95,17040,7792,15064,14794,179,1317,846,168,71,309,148,330,0,0,0,0,0,0,0,82394,70191,65887,4304
Uccle,Uccle,2009,329,13,154,500,607,551,2419,162,11,7,29,9941,5722,20449,15839,286,966,442,162,49,350,136,265,0,0,0,0,0,0,0,74248,62133,59389,2744
Zaventem,Zaventem,2009,2729,198,4946,2966,4889,6483,10995,1920,35,49,254,2022,2653,10114,6286,144,352,81,25,16,41,35,317,0,0,0,0,0,0,0,66941,59793,57550,2243
Aalst,Aalst,2009,9544,485,8589,5044,15992,15163,18346,6175,128,209,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91985,84565,80327,4238
Assenede,Assenede,2009,2436,132,1116,898,2597,3562,4297,1650,48,43,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20179,18900,17865,1035
Beveren,Beveren,2009,2936,209,3685,2270,6817,8425,5123,2212,59,69,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36037,33369,32059,1310
Brakel,Brakel,2009,1917,62,1114,745,1793,3010,4485,1152,12,29,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16429,15336,14412,924
Deinze,Deinze,2009,2607,219,2448,2086,3274,8336,8163,2896,50,66,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34425,32178,30292,1886
Dendermonde,Dendermonde,2009,6694,322,5570,3315,9563,11536,11377,3641,97,136,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59963,55020,52621,2399
Destelbergen,Destelbergen,2009,1199,80,1240,1101,1575,2290,3870,890,14,26,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13897,12922,12396,526
Eeklo,Eeklo,2009,2776,261,2476,2565,4268,9152,8108,3499,54,82,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38845,36032,33551,2481
Evergem,Evergem,2009,2220,366,2000,1542,3429,5588,4652,2259,41,83,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25860,23633,22446,1187
Geraardsbergen ,Geraardsbergen ,2009,3329,96,1688,1088,3682,3674,6294,1664,50,49,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25030,23130,21768,1362
Ghent,Ghent,2009,24751,1301,9853,23089,20110,21551,41179,8116,421,477,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174718,159781,152924,6857
Hamme,Hamme,2009,2707,232,2159,1526,4215,5621,5386,1776,44,53,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26580,24888,23876,1012
