NUTSID,NUTSName,GERB,PESBSPandDSH,DPS,ATAKA,NDSV,SDS,DSB,PBSDPDS,ZNS,KPB,SSD,ZP,GSNB,RZS,Serkedzhieva,Ivanov,Electorate,Votes,Valid,Invalid
BG311,Vidin,5026,14678,1066,1972,3134,2238,721,641,710,388,247,93,306,112,77,37,106280,31876,31446,430
BG312,Montana,6788,10639,809,3919,4994,1679,853,843,597,486,290,359,223,174,111,47,144094,33275,32811,463
BG313,Vratsa,11195,14001,2142,5685,3250,1770,1039,1104,1291,697,328,151,338,163,86,49,181807,43758,43289,469
BG314,Pleven,15431,19579,7316,13493,3316,3977,2206,1182,1681,748,395,294,263,407,146,87,269472,71323,70521,802
BG315,Lovech,7686,10120,4532,5795,2576,1632,1639,1053,707,472,301,150,203,237,98,58,136048,37700,37259,441
BG321,Veliko Tarnovo,17167,14844,5984,10811,5486,3559,2166,1660,926,726,600,367,403,486,170,173,234962,66520,65528,992
BG322,Gabrovo,9305,6866,3102,4899,2328,1576,1254,876,493,470,315,155,212,158,86,34,120630,32432,32129,306
BG323,Ruse,18505,11193,13782,12521,4371,2180,2534,1934,642,585,492,228,326,263,193,80,225716,70259,69829,431
BG324,Razgrad,5432,4933,35096,5514,1223,526,394,509,319,246,119,92,171,118,89,32,119363,55160,54813,347
BG325,Silistra,9432,7925,28082,5599,1977,677,581,950,367,548,196,169,254,148,117,42,118587,57394,57064,330
BG331,Varna,36264,22174,18550,21578,11386,6382,5798,1913,892,887,1444,670,811,489,235,314,395058,130784,129787,997
BG332,Dobrich,13743,14047,13458,9517,3287,1726,1647,1078,1231,616,460,340,399,299,175,110,179399,62646,62133,514
BG333,Shumen,11987,9730,29256,10313,3736,1356,1120,675,390,520,232,176,205,203,138,63,171369,70599,70100,499
BG334,Targovishte,6282,7917,27216,5044,1569,538,652,682,317,455,175,114,206,230,105,37,119892,52089,51539,550
BG341,Burgas,28167,22866,34925,23599,5784,4935,3503,2061,799,930,832,774,448,506,266,199,355779,131600,130594,1006
BG342,Sliven,9602,9702,7852,6873,2050,1773,1154,1070,863,606,259,163,246,233,140,89,181119,43257,42675,581
BG343,Yambol,7941,12142,2166,6586,2392,1361,984,763,1286,483,245,153,135,184,94,140,128831,37548,37055,493
BG344,Stara Zagora,21364,20942,9045,16623,4046,4000,3055,1978,2185,1119,503,425,391,365,194,93,308443,87035,86328,707
BG411,Sofia (stolitsa),61785,56577,3075,22570,17778,19818,33671,3379,1488,2112,2862,2812,890,1458,780,236,1066629,233208,231291,1917
BG412,Sofia region,11729,13858,5268,7819,2693,2331,1733,1292,1359,762,457,273,333,317,174,79,215437,51046,50477,569
BG413,Blagoevgrad,16755,13622,28469,10860,5415,5616,2557,1952,1537,761,491,287,449,773,139,69,284699,90209,89752,449
BG414,Pernik,4142,7468,807,3113,2857,1433,1259,1008,3396,401,410,104,158,139,113,50,125308,27216,26858,358
BG415,Kyustendil,6467,10244,1185,3813,3986,1906,1307,704,752,558,239,135,190,180,78,52,136524,32285,31796,489
BG421,Plovdiv,35692,37398,18839,26627,8958,11498,7568,3614,2180,1287,923,652,673,655,543,423,611140,159130,157530,1600
BG422,Haskovo,17760,15861,18267,13216,4016,2442,1617,1374,1096,842,591,251,302,295,225,62,233729,78839,78217,622
BG423,Pazhardzhik,12136,13576,12045,10748,5312,2605,1743,1509,1334,609,640,284,258,237,518,50,253830,64242,63604,638
BG424,Smolyan,6696,7107,8487,2140,1776,1430,694,800,664,310,208,130,195,178,82,37,113615,31218,30934,284
BG425,Kardzhali,4699,4100,51160,3619,1178,542,438,961,235,309,101,109,388,116,120,33,149054,68537,68108,429
BGZZZ,International,823,677,669,371,524,365,463,80,15,55,37,66,22,24,31,7,4266,4266,4229,37
BG31,Severozapaden,46126,69017,15865,30864,17270,11296,6458,4823,4986,2791,1561,1047,1333,1093,518,278,837701,217932,215326,2605
BG32,Severen tsentralen,59841,45761,86046,39344,15385,8518,6929,5929,2747,2575,1722,1011,1366,1173,655,361,819258,281765,279363,2406
BG33,Severoiztochen,68276,53868,88480,46452,19978,10002,9217,4348,2830,2478,2311,1300,1621,1221,653,524,865718,316118,313559,2560
BG34,Yugoiztochen,67074,65652,53988,53681,14272,12069,8696,5872,5133,3138,1839,1515,1220,1288,694,521,974172,299440,296652,2787
BG41,Yugozapaden,100878,101769,38804,48175,32729,31104,40527,8335,8532,4594,4459,3611,2020,2867,1284,486,1828597,433964,430174,3782
BG42,Yuzhen tsentralen,76983,78042,108798,56350,21240,18517,12060,8258,5509,3357,2463,1426,1816,1481,1488,605,1361368,401966,398393,3573
BGZZ,Abroad votes,823,677,669,371,524,365,463,80,15,55,37,66,22,24,31,7,4266,4266,4229,37
BG3,SEVERNA I IZTOCHNA BULGARIA,241317,234298,244379,170341,66905,41885,31300,20972,15696,10982,7433,4873,5540,4775,2520,1684,3496849,1115255,1104900,10358
BG4,YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA,177861,179811,147602,104525,53969,49621,52587,16593,14041,7951,6922,5037,3836,4348,2772,1091,3189965,835930,828567,7355
BGZ,ABROAD VOTES,823,677,669,371,524,365,463,80,15,55,37,66,22,24,31,7,4266,4266,4229,37
BG,BULGARIA,420001,414786,392650,275237,121398,91871,84350,37645,29752,18988,14392,9976,9398,9147,5323,2782,6691080,1955451,1937696,17750
