NUTSID,NUTSName,RZS,Lider,GERB,DPS,ATAKA,KB,ZASHTITA,NDSV,BS,BND,Siniata,Zelenite,IMRO,Nikolov,Electorate,Votes,Validvotes,Invalidvotes
BG311,Vidin,1776,2140,7859,803,2691,11007,147,4065,223,137,2573,148,1097,128,102615,35208,34794,414
BG312,Montana,2302,4741,11905,1480,4805,11147,239,3971,276,2291,2989,191,1707,153,142452,48966,48197,769
BG313,Vratsa,2031,5360,13948,2132,7318,16245,285,7039,422,406,3458,234,1055,183,177555,60788,60116,672
BG314,Pleven,4793,8101,22057,6149,16245,20506,467,6468,702,290,8360,371,1932,325,268115,97816,96766,1050
BG315,Lovech,3252,1685,12794,3531,6608,10713,243,4275,417,548,3462,191,1018,106,134005,49324,48843,481
BG321,Veliko Tarnovo,6750,3160,23146,9243,12986,16800,455,6765,616,281,5940,482,2236,326,233097,90021,89186,835
BG322,Gabrovo,2071,1911,13060,2907,6116,7781,191,4302,307,84,2972,179,617,125,120104,42937,42623,314
BG323,Ruse,4347,3098,21589,12938,13140,13353,333,7792,371,206,5288,440,2881,244,225266,86778,86020,758
BG324,Razgrad,1065,939,7790,33931,5012,4928,118,2098,244,95,1391,140,422,215,120931,59011,58388,623
BG325,Silistra,1919,1634,11086,26800,6019,8577,172,3429,333,129,1188,153,609,345,117732,62899,62393,506
BG331,Varna,7880,12880,45651,18792,26374,26164,719,16625,1265,1116,12108,1045,3612,401,399148,176087,174632,1455
BG332,Dobrich,3072,4361,15778,10057,12048,14522,285,5796,559,186,3040,231,1700,212,178382,72664,71847,817
BG333,Shumen,2960,2647,14889,23909,9577,12195,262,5521,382,135,2363,229,609,227,167500,76600,75905,695
BG334,Targovishte,1939,1430,7829,26062,5035,8337,168,2267,232,84,1221,160,565,265,117505,56165,55594,571
BG341,Burgas,7850,10134,34731,31342,35915,24671,561,9554,671,336,8942,706,3837,508,362067,171090,169758,1332
BG342,Sliven,2697,4474,17141,5729,7820,11801,201,3861,338,207,3037,179,676,145,179656,59110,58296,814
BG343,Yambol,2443,2539,11588,1556,7545,12780,195,4382,258,99,2327,151,2203,108,125662,48640,48174,466
BG344,Stara Zagora,6283,9200,28358,5647,17005,25035,558,8585,777,356,8282,524,2891,338,304744,114932,113839,1093
BG411,Sofia (stolitsa),16632,15729,110100,2393,21339,69869,3420,41650,1213,1708,69815,8340,6278,1447,1077922,373344,369935,3409
BG412,Sofia region,4665,6393,19886,1389,10124,20113,358,5229,575,228,4762,417,1024,245,212766,76215,75408,807
BG413,Blagoevgrad,7722,6988,26921,20461,9846,13850,299,8191,850,325,8841,473,5673,393,286156,111509,110833,676
BG414,Pernik,2046,6241,10002,860,3667,9098,224,3588,294,187,3311,234,3215,171,122485,43665,43138,527
BG415,Kyustendil,2600,7207,10202,541,3258,12029,194,4135,265,467,3339,252,1269,126,134635,46418,45884,534
BG421,Plovdiv,10685,8955,64507,23404,26633,45218,883,17126,1057,746,21263,1141,5573,520,611882,230383,227711,2672
BG422,Haskovo,3665,6570,22679,16025,14008,17017,378,6228,515,224,3795,838,1854,305,231837,95040,94101,939
BG423,Pazhardzhik,4193,5188,20684,16782,10026,16552,288,6401,470,394,5989,317,1859,317,253592,90370,89460,912
BG424,Smolyan,1522,2189,11170,10428,2682,10027,136,3058,222,196,1976,177,827,137,112522,45169,44747,422
BG425,Kardzhali,733,745,7525,46568,2784,5031,102,1532,186,149,975,139,524,514,151941,68032,67507,525
BGZZZ,Abroad votes,387,345,2818,2338,1426,1252,23,1213,92,69,1810,362,168,36,12496,12496,12339,157
BG31,Severozapaden,14154,22027,68563,14095,37667,69618,1381,25818,2040,3672,20842,1135,6809,895,824742,292102,288716,3386
BG32,Severen tsentralen ,16152,10742,76671,85819,43273,51439,1269,24386,1871,795,16779,1394,6765,1255,817130,341646,338610,3036
BG33,Severoiztochen ,15851,21318,84147,78820,53034,61218,1434,30209,2438,1521,18732,1665,6486,1105,862535,381516,377978,3538
BG34,Yugoiztochen,19273,26347,91818,44274,68285,74287,1515,26382,2044,998,22588,1560,9607,1099,972129,393772,390067,3705
BG41,Yugozapaden,33665,42558,177111,25644,48234,124959,4495,62793,3197,2915,90068,9716,17459,2382,1833964,651151,645198,5953
BG42,Yuzhen tsentralen ,20798,23647,126565,113207,56133,93845,1787,34345,2450,1709,33998,2612,10637,1793,1361774,528994,523526,5470
BGZZ,Abroad votes,387,345,2818,2338,1426,1252,23,1213,92,69,1810,362,168,36,12496,12496,12339,157
BG3,SEVERNA I IZTOCHNA BULGARIA ,65430,80434,321199,223008,202259,256562,5599,106795,8393,6986,78941,5754,29667,4354,3476536,1409036,1395371,13665
BG4,YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA,54463,66205,303676,138851,104367,218804,6282,97138,5647,4624,124066,12328,28096,4175,3195738,1180145,1168724,11423
BGZ,ABROAD VOTES,387,345,2818,2338,1426,1252,23,1213,92,69,1810,362,168,36,12496,12496,12339,157
BG,BULGARIA,120280,146984,627693,364197,308052,476618,11904,205146,14132,11679,204817,18444,57931,8565,6684770,2601677,2576434,25245
