Regionno,Regionname,Year,SNKED,KC,HOB,CSSD,NK,ODS,SproOS,SDS,SZ,HA,KS,SN,SORC,MDS,VOS,DS,SP,BPS,ZME,KDUCSL,PB,SZR,ULD,KSCM,SVSOS,SZZJ,NEI,SVOB,VKOFD,RMS,Ind.,Electorate,VotesEnvelopessubmitted,Validvotes,Invalidvotes
CZ010,Hlavni mesto Praha,2004,64326,797,179,25875,453,117892,817,175,14757,703,1003,1049,200,514,32,197,94,3314,89,17821,4161,718,9883,45540,409,669,2287,142,217,1237,21361,978107,338230,336911,1319
CZ020,Stredocesky kraj,2004,30124,548,230,23124,430,89991,599,192,7954,489,592,1051,373,568,59,584,207,1740,66,13259,3191,879,4923,56763,1568,1753,2114,174,276,1890,23261,922763,270496,268972,1524
CZ031,Jihocesky kraj,2004,12904,244,126,11347,190,46660,442,140,4106,288,304,539,146,213,26,265,75,816,50,11805,1870,364,2039,28464,1039,724,1151,82,132,960,9268,503866,137446,136779,667
CZ032,Plzensky kraj,2004,13490,209,109,12443,142,42734,236,61,3221,207,285,538,157,362,23,380,53,852,25,7281,1647,394,1770,28698,732,785,1163,89,124,847,10352,449616,130081,129409,672
CZ041,Karlovarsky kraj,2004,5442,148,69,5471,155,16670,91,113,1764,115,117,214,85,116,17,188,52,379,26,2164,911,239,932,12963,173,481,485,37,88,503,5651,242374,56227,55859,368
CZ042,Ustecky kraj,2004,13552,264,169,13780,164,45369,329,111,3838,270,294,531,205,367,50,585,135,753,33,4346,1881,535,1946,40541,661,1070,1146,132,204,1557,15993,656817,151676,150811,865
CZ051,Liberecky kraj,2004,11368,208,95,7791,156,30024,731,57,3249,166,209,414,124,219,16,223,55,618,21,4267,1493,367,2011,16838,456,644,733,70,116,856,8284,342710,92333,91879,454
CZ052,Kralovehradecky kraj,2004,14387,268,115,11029,200,43439,380,79,4059,267,293,587,483,286,26,264,72,787,41,10924,1789,453,2310,24459,942,849,1060,91,103,1008,12080,443082,133717,133130,587
CZ053,Pardubicky kraj,2004,11155,198,104,10632,138,35366,233,84,3258,221,216,547,197,228,26,275,49,596,61,14382,1314,355,2039,23147,1069,937,819,71,90,744,10343,406458,119443,118894,549
CZ063,Vysocina kraj,2004,10549,187,115,9899,124,31232,196,150,3172,196,211,511,95,164,21,200,82,622,325,20529,1353,326,1428,25538,919,667,1039,69,90,746,8556,412755,119838,119311,527
CZ064,Jihomoravsky kraj,2004,22193,496,194,22886,353,70540,311,111,10386,303,551,3547,142,352,31,279,116,1100,3868,42466,2594,419,3393,55370,1844,1017,1503,101,173,1647,24286,923640,273718,272572,1146
CZ071,Olomoucky kraj,2004,11285,285,205,13172,131,34539,550,48,3991,210,301,615,91,450,23,240,221,659,1131,22389,1474,337,1280,30865,729,696,982,71,124,1003,11034,513611,139805,139131,674
CZ072,Zlinsky kraj,2004,12239,212,173,12947,123,36259,188,67,4179,185,245,777,91,216,25,233,74,545,1662,26307,1447,298,1699,25404,550,595,865,51,99,717,9527,477884,138667,137999,668
CZ080,Moravskoslezsky kraj,2004,24264,468,1483,24507,185,60227,310,321,5998,357,365,769,196,311,498,376,432,998,1895,25443,2379,632,4002,58272,643,1064,1415,120,194,2052,21029,1009802,242613,241205,1408
CZ01,Praha,2004,64326,797,179,25875,453,117892,817,175,14757,703,1003,1049,200,514,32,197,94,3314,89,17821,4161,718,9883,45540,409,669,2287,142,217,1237,21361,978107,338230,336911,1319
CZ02,Stedni Cechy,2004,30124,548,230,23124,430,89991,599,192,7954,489,592,1051,373,568,59,584,207,1740,66,13259,3191,879,4923,56763,1568,1753,2114,174,276,1890,23261,922763,270496,268972,1524
CZ03,Jihozapad,2004,26394,453,235,23790,332,89394,678,201,7327,495,589,1077,303,575,49,645,128,1668,75,19086,3517,758,3809,57162,1771,1509,2314,171,256,1807,19620,953482,267527,266188,1339
CZ04,Severozapad,2004,18994,412,238,19251,319,62039,420,224,5602,385,411,745,290,483,67,773,187,1132,59,6510,2792,774,2878,53504,834,1551,1631,169,292,2060,21644,899191,207903,206670,1233
CZ05,Severovychod,2004,36910,674,314,29452,494,108829,1344,220,10566,654,718,1548,804,733,68,762,176,2001,123,29573,4596,1175,6360,64444,2467,2430,2612,232,309,2608,30707,1192250,345493,343903,1590
CZ06,Jihovychod,2004,32742,683,309,32785,477,101772,507,261,13558,499,762,4058,237,516,52,479,198,1722,4193,62995,3947,745,4821,80908,2763,1684,2542,170,263,2393,32842,1336395,393556,391883,1673
CZ07,Stredni Morava,2004,23524,497,378,26119,254,70798,738,115,8170,395,546,1392,182,666,48,473,295,1204,2793,48696,2921,635,2979,56269,1279,1291,1847,122,223,1720,20561,991495,278472,277130,1342
CZ08,Moravskoslezsko,2004,24264,468,1483,24507,185,60227,310,321,5998,357,365,769,196,311,498,376,432,998,1895,25443,2379,632,4002,58272,643,1064,1415,120,194,2052,21029,1009802,242613,241205,1408
CZ0,Ceska Republika,2004,257278,4532,3366,204903,2944,700942,5413,1709,73932,3977,4986,11689,2585,4366,873,4289,1717,13779,9293,223383,27504,6316,39655,472862,11734,11951,16762,1300,2030,15767,191025,8283485,2344290,2332862,11428
CZ,CZECH REPUBLIC,2004,257278,4532,3366,204903,2944,700942,5413,1709,73932,3977,4986,11689,2585,4366,873,4289,1717,13779,9293,223383,27504,6316,39655,472862,11734,11951,16762,1300,2030,15767,191025,8283485,2344290,2332862,11428
