NUTSID,NUTSName,ODS,CSSD,KSCM,KDUCSL,Suv.,EDS,VV,SNVA,SZ,SNKED,SSO,DS,PB,Lib.,SDZ,DSZ,NEZInd.,M,SPRRSC,NHZUE,NS,HS,SSCR,KC,Zeleni,BPS,CSNSa,Lib.CZ,SDSN,SSD,SDSvo,CSNS,LaP,Electorate,Votes,Validvotes,Invalidvotes
CZ010,Hlavní m?sto Praha,136915,50432,31070,15312,10482,23570,10660,10796,14230,8837,6371,2177,3124,3331,987,2630,1096,122,587,548,871,887,655,802,894,841,515,296,179,195,187,84,114,955836,341528,339797,1731
CZ020,St?edo?eský kraj,102403,58492,39766,11313,12631,8405,7494,6861,5416,4960,3631,2683,2998,3504,1916,2384,2125,165,1086,1085,877,668,714,621,469,524,400,209,206,233,148,104,84,974595,286033,284575,1458
CZ031,Jiho?eský kraj,47029,30271,21537,10014,5589,3405,3279,2731,2409,2187,1771,1406,1648,1133,1790,716,806,164,488,490,301,378,386,255,226,201,254,116,109,107,63,47,31,513031,142040,141337,703
CZ032,Plze?ský kraj,38821,30519,20993,7009,5800,3367,3458,2278,2089,1685,1307,1369,1476,1096,970,717,783,51,414,477,328,327,393,318,218,375,269,143,92,93,66,48,58,455979,128082,127407,675
CZ041,Karlovarský kraj,14539,13294,8771,1676,2713,1151,1363,1578,970,684,695,1292,866,608,379,345,272,48,253,203,302,126,131,111,108,100,93,41,54,52,31,24,15,244803,53250,52888,362
CZ042,Ústecký kraj,41530,36226,28432,3347,8900,2935,3661,1988,3233,2124,1968,4101,1792,1602,1189,860,807,96,696,415,549,271,284,264,237,240,200,86,147,118,79,70,29,663340,149326,148476,850
CZ051,Liberecký kraj,29586,19159,12018,3586,5570,2699,2871,4631,2017,1380,1305,1105,1353,967,740,612,452,65,398,356,289,172,184,173,171,168,152,87,69,71,44,129,21,349405,93124,92600,524
CZ052,Královéhradecký kraj,42360,27115,17211,8422,7098,3309,3509,2688,2348,3328,1853,1509,1684,1234,1312,848,808,99,497,473,418,257,329,279,199,194,170,95,100,80,64,49,30,447513,130615,129969,646
CZ053,Pardubický kraj,34601,27286,16471,11440,6141,2587,3142,2804,1908,1927,1525,1160,1343,1086,1152,681,734,158,388,497,254,200,345,207,171,174,164,87,81,69,50,37,45,412403,119478,118915,563
CZ063,Vyso?ina,29924,28798,19349,15464,4713,2501,2476,2445,1680,1624,1299,1079,1250,899,1410,564,528,413,423,372,205,168,252,215,157,171,132,111,83,54,50,31,27,413594,119366,118867,499
CZ064,Jihomoravský kraj,73538,63571,39681,35729,9295,6052,5236,5272,5816,3780,3002,2436,2010,3031,1385,1433,1049,3425,758,442,470,402,323,421,335,269,414,241,125,104,52,54,26,947657,271455,270177,1278
CZ071,Olomoucký kraj,35088,36722,21878,16959,5534,2346,3069,2574,1970,1769,1464,1609,1144,1227,1480,656,1151,1555,412,319,327,166,185,311,165,140,128,62,72,60,35,30,23,523049,141299,140630,669
CZ072,Zlínský kraj,36778,30970,16991,21052,4748,2138,2496,4677,1726,1744,1469,959,1126,885,1022,584,699,1508,344,340,180,200,173,170,137,138,123,74,74,55,38,22,19,484432,134329,133659,670
CZ080,Moravskoslezský kraj,78834,75277,40409,19128,11300,3687,3922,2661,2809,3137,2186,2483,1798,1640,1329,1731,1514,1217,748,887,892,362,190,302,230,176,255,127,110,132,79,62,23,1015737,261084,259637,1447
CZ01,Praha,136915,50432,31070,15312,10482,23570,10660,10796,14230,8837,6371,2177,3124,3331,987,2630,1096,122,587,548,871,887,655,802,894,841,515,296,179,195,187,84,114,955836,341528,339797,1731
CZ02,Strední Cechy,102403,58492,39766,11313,12631,8405,7494,6861,5416,4960,3631,2683,2998,3504,1916,2384,2125,165,1086,1085,877,668,714,621,469,524,400,209,206,233,148,104,84,974595,286033,284575,1458
CZ03,Jihozápad,85850,60790,42530,17023,11389,6772,6737,5009,4498,3872,3078,2775,3124,2229,2760,1433,1589,215,902,967,629,705,779,573,444,576,523,259,201,200,129,95,89,969010,270122,268744,1378
CZ04,Severozápad,56069,49520,37203,5023,11613,4086,5024,3566,4203,2808,2663,5393,2658,2210,1568,1205,1079,144,949,618,851,397,415,375,345,340,293,127,201,170,110,94,44,908143,202576,201364,1212
CZ05,Severovýchod,106547,73560,45700,23448,18809,8595,9522,10123,6273,6635,4683,3774,4380,3287,3204,2141,1994,322,1283,1326,961,629,858,659,541,536,486,269,250,220,158,215,96,1209321,343217,341484,1733
CZ06,Jihovýchod,103462,92369,59030,51193,14008,8553,7712,7717,7496,5404,4301,3515,3260,3930,2795,1997,1577,3838,1181,814,675,570,575,636,492,440,546,352,208,158,102,85,53,1361251,390821,389044,1777
CZ07,Strední Morava,71866,67692,38869,38011,10282,4484,5565,7251,3696,3513,2933,2568,2270,2112,2502,1240,1850,3063,756,659,507,366,358,481,302,278,251,136,146,115,73,52,42,1007481,275628,274289,1339
CZ08,Moravskoslezsko,78834,75277,40409,19128,11300,3687,3922,2661,2809,3137,2186,2483,1798,1640,1329,1731,1514,1217,748,887,892,362,190,302,230,176,255,127,110,132,79,62,23,1015737,261084,259637,1447
CZ0,CZECH REPUBLIC,741946,528132,334577,180451,100514,68152,56636,53984,48621,39166,29846,25368,23612,22243,17061,14761,12824,9086,7492,6904,6263,4584,4544,4449,3717,3711,3269,1775,1501,1423,986,791,545,8401374,2371009,2358934,12075
CZ,CZECH REPUBLIC,741946,528132,334577,180451,100514,68152,56636,53984,48621,39166,29846,25368,23612,22243,17061,14761,12824,9086,7492,6904,6263,4584,4544,4449,3717,3711,3269,1775,1501,1423,986,791,545,8401374,2371009,2358934,12075
