NUTSID,NUTSName,Year,CDUCSU,SPD,B90GR,PDS,FDP,REP,BFB,Graue,DP,APD,STATT,PASS,BP,Forum,PBC,Natur,DSU,NPD,CM,CL,Autonome,BSo,PEAD,BSA,FAMILIE,Other,Electorate,Votes,Validvotes,Invalidvotes
DE111,"Stuttgart, Stadtkreis",1994,83118,62710,41131,2173,15569,16734,2479,1842,2811,1243,1865,264,279,297,795,644,60,285,376,276,258,264,76,46,0,11681,375099,241831,235595,6236
DE112,Böblingen,1994,62611,37802,23942,712,8866,9366,1542,1003,1415,1211,1933,183,258,142,1134,490,57,331,502,408,146,69,28,27,0,9337,234530,159621,154178,5443
DE113,Esslingen,1994,88938,58952,31627,1072,12567,16585,2105,1265,2213,1575,2572,227,356,190,1497,685,78,354,561,447,196,88,82,58,0,12444,338428,232038,224290,7748
DE114,Göppingen,1994,43555,32177,12371,439,6098,7982,1125,683,1943,716,743,138,176,71,605,374,25,285,278,222,109,59,27,20,0,6474,176513,116126,110221,5905
DE115,Ludwigsburg,1994,83551,58410,31511,1093,12232,15770,2384,1510,1771,1416,2882,257,310,192,1987,682,68,432,499,375,209,77,66,37,0,12770,330825,226363,217721,8642
DE116,Rems-Murr-Kreis,1994,66041,45059,21705,751,12038,13463,1643,1090,4262,1187,1078,164,278,139,2386,471,66,369,463,378,129,109,38,42,0,12649,277073,180555,173349,7206
DE117,"Heilbronn, Stadtkreis",1994,17157,15767,5387,281,2541,4759,719,333,290,320,335,51,64,33,186,134,14,76,97,64,44,13,13,6,0,2073,81095,50832,48684,2148
DE118,"Heilbronn, Landkreis",1994,51806,39720,15063,525,7575,11054,1674,749,1951,1024,905,108,170,96,1077,378,38,340,349,317,86,50,19,28,0,7685,207469,143230,135102,8128
DE119,Hohenlohekreis,1994,19657,11571,5397,181,2885,3280,466,229,646,349,315,56,81,45,279,207,18,160,162,107,28,32,15,9,0,2738,72525,48528,46175,2353
DE11A,Schwäbisch Hall,1994,32874,21546,9090,309,4351,4228,587,346,1798,458,403,104,142,92,696,204,23,288,233,224,104,37,17,18,0,5187,127794,81913,78172,3741
DE11B,Main-Tauber-Kreis,1994,33988,15619,6471,205,2611,4534,728,335,1057,449,376,105,128,48,368,224,31,178,333,122,39,59,13,16,0,3881,100454,72033,68037,3996
DE11C,Heidenheim,1994,22567,18820,6892,292,2123,5664,416,266,997,300,243,43,74,39,607,155,34,60,110,100,38,18,13,8,0,3105,95958,63602,59879,3723
DE11D,Ostalbkreis,1994,64525,38294,15318,428,5400,7993,976,585,1464,709,945,142,205,62,585,412,50,206,346,291,103,49,27,29,0,6210,220312,147688,139144,8544
DE121,"Baden-Baden, Stadtkreis",1994,10598,5433,3235,143,1698,996,415,203,179,136,183,29,31,23,73,87,7,55,28,55,16,14,5,7,0,1131,39631,24614,23649,965
DE122,"Karlsruhe, Stadtkreis",1994,41603,35141,17584,926,6008,4206,1318,559,1364,379,855,121,91,134,414,210,33,300,128,152,133,31,31,15,0,4950,204701,115343,111736,3607
DE123,"Karlsruhe, Landkreis",1994,84207,53183,21161,617,7806,10514,1856,927,1508,1178,1184,198,213,141,1299,521,44,456,540,417,145,74,44,28,0,8917,291787,199982,188261,11721
DE124,Rastatt,1994,47172,26288,10097,308,4059,5507,997,432,769,641,582,130,117,55,237,304,30,222,200,213,51,43,16,26,0,4068,158489,105707,98496,7211
DE125,"Heidelberg, Stadtkreis",1994,21381,16712,13516,1009,3348,2508,823,320,492,232,567,67,46,106,161,147,20,85,74,57,67,29,22,12,0,2504,95953,63884,61801,2083
DE126,"Mannheim, Stadtkreis",1994,40120,41762,15109,1157,4182,7579,1368,731,449,547,1452,151,123,82,258,257,44,296,119,132,122,41,24,20,0,4848,208190,121780,116125,5655
DE127,Neckar-Odenwald-Kreis,1994,33267,18777,5931,209,2429,3832,2204,292,1022,439,374,64,73,25,342,169,19,187,175,132,42,18,14,11,0,3398,105009,74479,70047,4432
DE128,Rhein-Neckar-Kreis,1994,101132,77006,31041,1253,11814,12146,3211,1178,1523,1425,1772,305,248,163,697,583,74,1109,391,397,177,89,42,51,0,10224,371104,261615,247827,13788
DE129,"Pforzheim, Stadtkreis",1994,17733,11536,4824,235,2412,4102,717,337,287,339,479,47,68,38,252,134,9,83,80,123,55,31,11,11,0,2384,80321,45806,43943,1863
DE12A,Calw,1994,30111,15850,7712,271,3704,4845,791,473,596,496,478,101,94,55,1176,218,26,190,298,473,46,16,17,11,0,4764,105638,71277,68048,3229
DE12B,Enzkreis,1994,31425,24014,10453,319,4646,6964,967,520,680,734,732,98,116,68,1046,288,20,167,278,265,83,43,16,17,0,5171,130803,88409,83959,4450
DE12C,Freudenstadt,1994,24694,12851,4946,177,2563,3277,453,312,694,344,276,72,78,41,984,178,20,109,232,128,19,7,15,12,0,3521,82948,54913,52482,2431
DE131,"Freiburg im Breisgau, Stadtkreis",1994,25716,21134,24749,1059,4008,3103,624,587,1833,325,611,141,85,175,344,219,23,81,102,107,277,22,21,31,0,4984,138409,88237,85377,2860
DE132,Breisgau-Hochschwarzwald,1994,46668,26715,18576,442,6750,4071,780,705,1959,615,657,101,116,102,626,381,22,113,294,208,104,41,26,19,0,6089,166569,116380,110091,6289
DE133,Emmendingen,1994,27647,20401,10590,286,3508,2616,403,407,750,386,552,55,66,42,356,217,27,118,261,152,69,16,16,15,0,3505,107899,73345,68956,4389
DE134,Ortenaukreis,1994,83006,46918,20597,660,7427,7588,2376,862,1569,911,1290,213,210,134,826,635,58,285,733,354,133,75,40,29,0,8357,288997,190681,176929,13752
DE135,Rottweil,1994,30022,15048,5094,244,3023,3439,434,386,2449,436,361,94,113,64,473,219,22,214,235,214,58,19,16,9,0,5382,100302,66978,62686,4292
DE136,Schwarzwald-Baar-Kreis,1994,39615,22472,10449,311,5457,3882,612,613,970,595,630,110,108,64,505,238,95,322,300,327,98,26,30,27,0,5058,147989,92941,87856,5085
DE137,Tuttlingen,1994,29302,13400,6005,181,3380,3191,499,299,721,396,375,90,98,48,299,181,26,301,143,204,41,19,10,7,0,3258,89901,63260,59216,4044
DE138,Konstanz,1994,46744,27478,16373,595,6336,3888,998,682,815,773,1093,171,164,122,471,354,45,260,234,232,130,42,32,44,0,5664,182583,113991,108076,5915
DE139,Lörrach,1994,33480,28189,12520,538,4912,3656,561,723,709,510,662,122,127,152,887,367,15,195,251,185,131,39,22,24,0,5121,150246,93335,88977,4358
DE13A,Waldshut,1994,33723,17161,8493,301,3620,2737,461,405,1727,523,382,89,104,49,457,233,21,110,173,137,58,21,21,23,0,4533,113750,75123,71029,4094
DE141,Reutlingen,1994,50578,30388,15533,601,7083,7952,2156,799,1023,872,845,154,207,125,1081,407,39,248,462,656,109,48,28,26,0,7129,187467,126538,121420,5118
DE142,"Tübingen, Landkreis",1994,32377,23677,17562,884,5147,4785,1317,566,928,707,492,121,111,176,815,325,26,129,281,262,170,35,16,30,0,5190,134569,93836,90939,2897
DE143,Zollernalbkreis,1994,38872,20820,7506,232,4350,4952,1347,476,733,581,603,144,135,62,433,303,31,273,207,249,60,34,24,16,0,4364,137006,87077,82443,4634
DE144,"Ulm, Stadtkreis",1994,18093,14691,7042,312,2646,2836,721,355,538,274,264,71,77,41,198,256,16,77,85,70,54,20,16,9,0,2421,77474,50187,48762,1425
DE145,Alb-Donau-Kreis,1994,43143,20780,8794,228,3705,5168,733,400,1455,511,443,117,108,57,737,253,37,186,279,265,62,31,15,14,0,4970,125297,91639,87521,4118
DE146,Biberach,1994,47526,14134,8166,187,2669,5509,803,398,2206,505,517,87,141,41,372,336,31,267,397,344,76,42,15,18,0,5793,124744,88722,84787,3935
DE147,Bodenseekreis,1994,40403,18960,11577,352,4761,3946,1058,466,2580,551,915,137,147,85,358,275,42,253,282,271,90,42,32,15,0,6541,137377,92011,87598,4413
DE148,Ravensburg,1994,58138,22144,13303,388,4604,6412,1150,561,6356,766,961,162,217,82,576,416,54,201,383,668,123,37,24,18,0,11605,183874,122662,117744,4918
DE149,Sigmaringen,1994,33609,10966,5998,192,2293,3346,580,345,988,379,350,88,110,31,245,194,20,140,206,220,26,33,11,14,0,3400,90408,63630,60384,3246
DE211,"Ingolstadt, Kreisfreie Stadt",1994,20425,9710,3016,219,1062,3574,535,143,595,194,146,48,550,27,78,119,33,50,56,51,23,14,5,9,0,2141,78491,41086,40682,404
DE212,"München, Kreisfreie Stadt",1994,189511,142792,67948,3930,24372,29573,13694,2717,6119,3718,2391,599,6491,618,794,1259,162,450,344,413,444,228,111,93,0,26951,850746,502961,498771,4190
DE213,"Rosenheim, Kreisfreie Stadt",1994,9339,3762,1950,71,664,2488,1282,151,427,98,95,46,623,22,61,81,6,32,35,55,46,13,11,4,0,1806,40976,21617,21362,255
DE214,Altötting,1994,25627,8417,2489,91,1116,3311,519,169,1114,169,126,58,1383,19,27,125,27,26,97,62,31,40,10,8,0,3491,77819,45494,45061,433
DE215,Berchtesgadener Land,1994,22308,6482,3099,84,1047,3702,778,128,1078,134,85,46,849,21,101,80,12,59,89,175,27,11,9,8,0,2912,72000,40766,40412,354
DE216,Bad Tölz-Wolfratshausen,1994,25348,6868,4271,119,1679,3111,3225,191,850,238,163,52,1571,32,63,153,17,36,60,56,30,7,7,7,0,3533,80480,48536,48154,382
DE217,Dachau,1994,23964,9047,3944,139,1590,4574,1739,211,1642,405,242,64,1033,29,81,123,26,30,70,64,27,17,17,10,0,4091,86169,49510,49088,422
DE218,Ebersberg,1994,23158,9205,5100,171,2195,2302,1986,215,983,348,205,55,1113,43,68,134,14,30,58,64,43,25,8,3,0,3409,79388,47897,47526,371
DE219,Eichstätt,1994,27306,11129,2740,112,931,3214,377,101,841,198,119,45,814,14,43,127,13,47,98,109,28,8,4,7,0,2616,79480,48830,48425,405
DE21A,Erding,1994,20988,6595,3051,156,1102,3320,1639,131,1532,227,150,39,1228,15,35,93,12,18,74,103,36,21,7,5,0,3726,73663,40928,40577,351
DE21B,Freising,1994,25339,9511,6076,240,1884,3265,1904,231,1625,383,212,52,1190,48,104,123,18,115,56,75,35,16,13,6,0,4302,96258,52889,52521,368
DE21C,Fürstenfeldbruck,1994,37550,18098,9573,295,4041,4913,3336,440,1740,599,425,113,1641,83,142,232,29,52,81,82,63,25,28,11,0,5786,138480,84237,83592,645
DE21D,Garmisch-Partenkirchen,1994,20778,3930,2409,76,1174,2064,2696,151,1466,159,83,27,784,21,40,110,27,30,64,57,16,47,6,3,0,3091,63913,36526,36218,308
