NUTSID,NUTSName,CDU,SPD,GRNE,CSU,DIELINKE,FDP,REP,DieTierschutzpartei,FAMILIE,dp,DIEFRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BSo,Plus,AUF,DVU,DIEGRAUEN,DIEVIOLETTEN,EDE,FBI,VOLKSENTSCHEIDE,FWFREIEWHLER,Newropeans,PIRATEN,RRP,RENTNER,Wahlberechtigte,Whler,Ungltige,Gltige
DE111,"Stuttgart, Landeshauptstadt",55220,34148,45406,0,8560,27500,3775,1813,850,1293,498,501,615,262,151,165,162,55,84,276,265,351,454,488,124,194,394,2260,200,2293,469,829,368282,192772,3117,189655
DE112,Böblingen,49779,22655,20795,0,3494,21797,2531,1385,1028,476,362,450,1701,269,132,55,119,25,41,260,497,339,237,217,84,156,284,2242,73,1215,388,747,255052,137328,3495,133833
DE113,Esslingen,70412,35804,31520,0,5059,27026,6383,2002,1628,802,538,640,1196,369,198,97,170,36,47,346,518,361,370,385,84,227,376,2917,95,1506,645,1190,358823,198134,5187,192947
DE114,Göppingen,34059,17279,11666,0,2717,11926,2297,1045,857,377,274,297,517,199,142,45,101,18,33,191,164,300,188,184,34,114,202,1858,29,713,328,615,180607,92262,3493,88769
DE115,Ludwigsburg,69215,36798,29474,0,5789,26986,4562,2156,1529,790,435,472,1509,328,204,79,155,51,63,384,465,411,491,355,92,182,362,3714,100,1515,706,1164,356755,195839,5303,190536
DE116,Rems-Murr-Kreis,56285,27702,21391,0,4002,22576,3633,1726,1371,1110,396,470,1683,353,184,83,143,22,86,339,438,454,356,367,58,196,333,2065,77,1194,588,1383,293329,155439,4375,151064
DE117,"Heilbronn, Stadt",12533,8188,3687,0,1125,4924,811,275,198,207,87,67,126,42,21,12,33,6,11,88,44,138,82,57,13,27,62,295,22,253,114,224,78133,34708,936,33772
DE118,Heilbronn,48057,25103,12265,0,3216,17152,2798,1455,1286,907,366,316,1089,274,141,50,104,35,44,286,211,417,256,200,45,140,233,1235,79,871,473,962,236180,125576,5510,120066
DE119,Hohenlohekreis,16256,9279,3755,0,908,6530,934,484,590,145,135,126,403,96,50,31,52,18,19,110,82,133,63,65,14,48,95,481,48,285,155,314,81880,43609,1905,41704
DE11A,Schwäbisch Hall,23233,15306,8070,0,1897,8736,1377,733,858,562,201,160,808,187,145,45,80,19,28,119,196,205,141,121,27,106,130,754,35,521,223,471,141371,68683,3189,65494
DE11B,Main-Tauber-Kreis,26972,9464,5453,0,1564,6539,1299,583,930,512,155,168,265,114,69,20,59,17,13,90,85,103,82,105,29,119,90,922,21,407,188,411,104424,59707,2859,56848
DE11C,Heidenheim,19160,9327,5208,0,1654,4471,1052,471,396,432,135,155,337,105,56,135,36,8,9,91,82,105,98,88,26,35,92,538,22,287,137,319,96626,46712,1645,45067
DE11D,Ostalbkreis,53109,21292,12938,0,3282,13056,2719,1089,1191,331,313,285,807,225,135,48,111,33,44,176,155,173,192,190,45,157,202,1029,45,751,333,663,231041,119900,4781,115119
DE121,"Baden-Baden, Stadt",7688,2971,2901,0,445,2954,220,214,137,53,52,50,45,45,18,9,11,6,6,41,37,49,43,48,6,20,23,181,19,102,74,115,39979,19131,548,18583
DE122,"Karlsruhe, Stadt",26755,17633,19468,0,3526,13097,768,928,578,320,249,240,473,138,69,70,59,37,42,128,170,248,135,170,42,88,134,612,84,1920,206,375,202253,90597,1835,88762
DE123,Karlsruhe,69187,31533,19130,0,3698,22023,3453,2184,1641,365,440,445,1297,442,174,75,121,41,48,261,237,368,254,295,49,159,273,1970,81,1523,518,1109,320814,170793,7399,163394
DE124,Rastatt,34983,14997,9190,0,1875,10266,1531,1139,888,169,279,281,218,156,94,45,51,32,18,157,85,173,121,130,36,79,153,935,39,633,285,571,168284,83631,4022,79609
DE125,"Heidelberg, Stadt",13199,9299,13799,0,2172,6631,339,431,187,182,118,91,140,39,36,42,28,12,14,34,57,63,48,101,32,28,57,174,64,574,101,149,95240,48920,679,48241
DE126,"Mannheim, Universitätsstadt",25011,22178,12953,0,4095,8978,1585,908,416,155,244,207,226,104,79,104,48,17,40,139,82,203,122,128,54,57,122,173,61,853,262,482,199811,81790,1704,80086
