NUTSID,NUTSName,Year,SocialDemocrats,SocialLiberals,Conservative,CentreDemocrats,SocialistPeoplesParty,TheJuneMovement,PeooplesMovementagainstEC,ChristianPeoplesParty,LiberalParty,ProgressiveParty,Electorate,Votes,Validvotes,Invalidvotes
DK001,København og Fredriksberg kommuner,1994,30636,20927,35325,2449,28254,48776,39762,1460,21887,5137,445181,237979,234613,3366
DK002,Københavns amt,1994,36192,24352,56867,2868,25781,42990,29472,1416,32153,6450,453618,262198,258541,3657
DK003,Fredriksborg amt,1994,18530,14273,33034,1660,12546,22109,14600,1097,25939,3496,263282,149506,147284,2222
DK004,Roskilde amt,1994,13498,9756,17717,921,8326,14879,8239,525,15576,2572,166809,93523,92009,1514
DK005,Vestsjællands amt,1994,18956,11004,18359,1112,7978,17428,10883,808,21142,2941,221239,112658,110611,2047
DK006,Storstrøms amt,1994,32831,7374,15699,841,6131,14533,9709,527,18830,2803,201711,111623,109278,2345
DK007,Bornholms amt,1994,3509,1083,1808,115,909,2688,1574,772,4925,567,34808,18448,17950,498
DK008,Fyns amt,1994,34496,17163,30077,1258,15264,29242,19335,968,35881,4515,361519,191782,188199,3583
DK009,Sønderjyllands amt,1994,15695,5500,21022,694,5060,11474,9140,1414,24438,3343,187541,99731,97780,1951
DK00A,Ribe amt,1994,10903,6742,12512,463,5396,9525,7342,1273,24435,2581,166679,82603,81172,1431
DK00B,Vejle amt,1994,18263,9093,20969,914,16915,15085,9147,2024,32003,4916,252098,131384,129329,2055
DK00C,Ringkøbing amt,1994,13171,6605,20623,758,5100,11944,6185,4238,29822,3620,202766,103685,102066,1619
DK00D,Århus amt,1994,37675,20963,43721,2007,24920,42066,25103,2223,45368,6805,459873,254663,250851,3812
DK00E,Viborg amt,1994,14361,7497,14974,592,4869,9394,6621,1677,21975,3699,175342,87042,85659,1383
DK00F,Nordjyllands amt,1994,30486,14148,26183,1713,11094,24554,17623,2564,39988,6242,375496,176955,174595,2360
DK00,Danmark,1994,329202,176480,368890,18365,178543,316687,214735,22986,394362,59687,3967962,2113780,2079937,33843
DK0,DANMARK ,1994,329202,176480,368890,18365,178543,316687,214735,22986,394362,59687,3967962,2113780,2079937,33843
DK,DANMARK ,1994,329202,176480,368890,18365,178543,316687,214735,22986,394362,59687,3967962,2113780,2079937,33843
