NUTSID,NUTSName,Year,SocialDemocrats,SocialLiberals,Conservatives,CentreDemocrats,SocialistPeoplesParty,TheJuneMovement,PeoplesMovementAgainstEC,DanishPeoplesParty,ChristianPeoplesParty,LiberalParty,ProgressParty,Electorate,Votes,Validvotes,Invalidvotes,Blank,Otherinvalid
DK001,København og Fredriksberg kommuner,1999,30986,29104,16309,7033,26151,41965,26618,13598,2486,31150,780,448549,231244,226180,5064,4124,940
DK002,Københavns amt,1999,35911,23318,25727,9596,19420,39887,19972,17469,2956,46702,983,451457,247543,241941,5602,4784,818
DK003,Fredriksborg amt,1999,17106,14198,15288,6068,10153,21915,12160,8017,2137,35036,632,269473,146021,142710,3311,2894,417
DK004,Roskilde amt,1999,13202,8573,8007,3826,7007,13998,6084,6509,1233,20761,424,172445,92104,89624,2480,2128,352
DK005,Vestsjællands amt,1999,20271,8702,9094,4153,6889,17978,7802,6120,1501,22521,649,223034,109122,105680,3442,3029,413
DK006,Storstrøms amt,1999,35201,5651,7621,2806,5694,14345,6074,4993,1143,20173,646,200627,107687,104347,3340,2928,412
DK007,Bornholms amt,1999,3615,740,692,342,846,2458,989,774,790,4757,90,34119,16781,16093,688,600,88
DK008,Fyns amt,1999,36010,16621,15431,4905,11573,27824,11324,9811,2189,38189,932,359789,180234,174809,5425,4854,571
DK009,Sønderjyllands amt,1999,13421,6905,10880,2788,3631,13635,5037,5465,2144,24328,1653,189337,92916,89887,3029,2592,437
DK00A,Ribe amt,1999,10909,6576,5938,2326,3857,12171,4930,4272,2142,24561,884,166389,81052,78566,2486,2212,274
DK00B,Vejle amt,1999,19233,9326,9476,4219,7250,20953,6431,7892,3235,35206,897,260730,127332,124118,3214,2770,444
DK00C,Ringkøbing amt,1999,11742,6711,7544,2797,4765,11672,4408,4575,5746,31994,1022,203027,95726,92976,2750,2469,281
DK00D,Århus amt,1999,38442,23122,17632,9357,18740,41456,16673,12742,4552,55613,1390,478311,245503,239719,5784,5137,647
DK00E,Viborg amt,1999,12178,7281,6198,2662,4552,11284,4915,4326,2725,25189,1053,175974,84585,82363,2222,1985,237
DK00F,Nordjyllands amt,1999,26029,13261,11047,5839,9525,25967,10292,8302,4149,44654,2198,376333,165456,161263,4193,3677,516
DK00,Danmark,1999,324256,180089,166884,68717,140053,317508,143709,114865,39128,460834,14233,4009594,2023306,1970276,53030,46183,6847
DK0,DANMARK ,1999,324256,180089,166884,68717,140053,317508,143709,114865,39128,460834,14233,4009594,2023306,1970276,53030,46183,6847
DK,DANMARK ,1999,324256,180089,166884,68717,140053,317508,143709,114865,39128,460834,14233,4009594,2023306,1970276,53030,46183,6847

