Strokreds,SD,RV,K,SF,LA,JB,FmEU,DF,V,Electorate,Votes,Validvotes,Invalidvotes,Blankvotes,Otherinvalidvotes
Københavns Storkreds,55234,23033,24854,68823,2351,8322,33111,30764,30988,487123,284345,277480,6865,6020,845
Københavns Omegns Storkreds,46329,10793,26285,34971,1476,5144,20575,36806,34044,361043,222765,216423,6342,5705,637
Nordsjællands Storkreds,35492,10996,30285,30401,1538,4426,14363,30589,45180,319962,208802,203270,5532,5025,507
Bornholms Storkreds,4556,477,1662,2366,65,511,1433,2423,3755,33064,18065,17248,817,749,68
Sjællands Storkreds,74313,12049,40298,54624,1730,7781,24003,65469,71170,612896,363270,351437,11833,10821,1012
Fyns Storkreds,57180,6847,36929,32320,1000,5340,12920,29007,33434,362875,221396,214977,6419,5883,536
Sydjyllands Storkreds,58067,8710,37718,36477,1385,5507,16032,50523,76336,524790,301650,290755,10895,10022,873
Østjyllands Storkreds,78636,12857,35700,53179,2132,7669,20359,48486,65546,540094,333764,324564,9200,8521,679
Vestjyllands Storkreds,41001,7290,32949,26374,1052,3547,11548,31686,62306,378052,225255,217753,7502,7011,491
Nordjyllands Storkreds,52631,7042,30519,32068,1067,7212,14211,32189,51282,437201,236256,228221,8035,7462,573
Hovedstaden,141611,45299,83086,136561,5430,18403,69482,100582,113967,1201192,733977,714421,19556,17499,2057
Sjælland,74313,12049,40298,54624,1730,7781,24003,65469,71170,612896,363270,351437,11833,10821,1012
Syddanmark,115247,15557,74647,68797,2385,10847,28952,79530,109770,887665,523046,505732,17314,15905,1409
Midtjylland,119637,20147,68649,79553,3184,11216,31907,80172,127852,918146,559019,542317,16702,15532,1170
Nordjylland,52631,7042,30519,32068,1067,7212,14211,32189,51282,437201,236256,228221,8035,7462,573
DK0,503439,100094,297199,371603,13796,55459,168555,357942,474041,4057100,2415568,2342128,73440,67219,6221
DK,503439,100094,297199,371603,13796,55459,168555,357942,474041,4057100,2415568,2342128,73440,67219,6221
