NUTSID,NUTSName,Year,SDP,Kesk,Kok,VL,Vihr,SFPRKP,SKL,SMP,EKA,NP,LibKans,SEP,VSL,LP,VEU,Electorate,Votes,Validvotes,Invalidvotes
FI131,Etelä-Savo,1996,16737,26778,14844,4424,3368,538,2470,395,69,1088,203,174,389,68,987,137632,76669,72532,4137
FI132,Pohjois-Savo,1996,16559,52125,12880,12046,4277,558,3203,1073,116,1665,343,286,810,130,2020,205301,113599,108091,5508
FI133,Pohjois-Karjala,1996,28801,21007,7178,3578,3071,366,3303,603,51,669,733,186,465,79,2080,138389,75892,72170,3722
FI134,Kainuu,1996,3828,16877,4050,8813,1753,145,766,164,31,384,128,175,370,49,512,74512,40392,38045,2347
FI181,Uusimaa,1996,117861,44261,137478,49918,77941,46312,13731,1257,462,32314,1766,1788,2773,860,12730,986500,558773,541452,17321
FI182,Itä-Uusimaa,1996,8544,4819,5853,1974,2788,11888,840,99,35,1025,112,95,228,69,887,68566,41597,39256,2341
FI183,Varsinais-Suomi,1996,50071,40035,43410,25049,16098,10301,3179,593,216,6020,586,422,1628,454,3240,352296,212707,201302,11405
FI184,Kanta-Häme,1996,17855,20536,16137,8629,4930,562,1936,189,211,1549,272,254,416,78,1350,130737,79584,74904,4680
FI185,Päijät-Häme,1996,18607,14740,25956,8904,5625,722,2441,242,217,2924,395,204,550,169,1876,158745,88002,83572,4430
FI186,Kymenlaakso,1996,30056,15316,18871,5593,4937,982,2357,249,79,2254,280,215,445,119,1617,156673,88089,83370,4719
FI187,Etelä-Karjala,1996,20561,15073,13543,2871,4007,311,1489,244,65,1572,224,189,307,76,992,113484,64434,61524,2910
FI193,Keski-Suomi,1996,24664,34663,17268,12795,6131,643,7787,499,116,1936,480,261,798,147,2274,207754,117749,110462,7287
FI194,Etelä-Pohjanmaa,1996,10191,51586,18612,5052,2149,407,2579,4861,298,697,143,376,613,60,735,159993,102901,98359,4542
FI195,Pohjanmaa,1996,11267,8886,7478,4736,2727,42791,3278,638,33,770,124,180,359,70,1600,148987,89284,84937,4347
FI196,Satakunta,1996,26533,26504,26398,15146,4556,851,3625,568,94,1885,387,319,849,167,1591,196492,117668,109473,8195
FI197,Pirkanmaa,1996,42826,32058,49540,28509,14943,1729,5992,1003,324,6797,1371,622,1352,462,6231,350930,205310,193759,11551
FI1A1,Keski-Pohjanmaa,1996,4263,14583,3420,2324,1174,2879,1285,1187,30,317,106,96,190,30,1435,58006,35390,33319,2071
FI1A2,Pohjois-Pohjanmaa,1996,19452,65740,20674,19365,6598,557,1949,938,114,2503,316,336,835,161,3948,273624,153210,143486,9724
FI1A3,Lappi,1996,13613,41607,10095,16710,3413,318,1010,200,78,1758,332,178,362,77,1440,165936,96763,91191,5572
FI200,Åland,1996,288,847,44,54,184,6565,59,2,1,7,4,1,7,2,142,24146,8491,8207,284
FI13,Itä-Suomi,1996,65925,116787,38952,28861,12469,1607,9742,2235,267,3806,1407,821,2034,326,5599,555834,306552,290838,15714
FI18,Etelä-Suomi,1996,263555,154780,261248,102938,116326,71078,25973,2873,1285,47658,3635,3167,6347,1825,22692,1967001,1133186,1085380,47806
FI19,Länsi-Suomi,1996,115481,153697,119296,66238,30506,46421,23261,7569,865,12085,2505,1758,3971,906,12431,1064156,632912,596990,35922
FI1A,Pohjois-Suomi,1996,37328,121930,34189,38399,11185,3754,4244,2325,222,4578,754,610,1387,268,6823,497566,285363,267996,17367
FI20,Åland,1996,288,847,44,54,184,6565,59,2,1,7,4,1,7,2,142,24146,8491,8207,284
FI1,Manner-Suomi,1996,482289,547194,453685,236436,170486,122860,63220,15002,2639,68127,8301,6356,13739,3325,47545,4084557,2358013,2241204,116809
FI2,Åland,1996,288,847,44,54,184,6565,59,2,1,7,4,1,7,2,142,24146,8491,8207,284
FI,FINLAND,1996,482577,548041,453729,236490,170670,129425,63279,15004,2640,68134,8305,6357,13746,3327,47687,4108703,2366504,2249411,117093
