NUTSID,NUTSName,Year,SDP,Kesk,Kok,VL,Vihr,SFPRKP,SKL,Perus,EKA,KIPU,SKP,Electorate,Voters,Validvotes,Invalidvotes
FI131,Etelä-Savo,1999,7977,13229,7695,1696,2920,88,1047,184,47,739,106,135287,35904,35728,176
FI132,Pohjois-Savo,1999,11598,18230,9009,4453,4112,128,1149,780,74,1010,375,203729,51142,50918,224
FI133,Pohjois-Karjala,1999,13843,10089,7190,1728,2264,52,1017,258,38,644,279,136748,37585,37402,183
FI134,Kainuu,1999,1806,6249,2789,3795,1009,17,450,248,16,314,119,73033,16904,16812,92
FI181,Uusimaa,1999,59262,20923,113932,28489,81802,35339,8594,1532,670,7647,1793,1018671,361256,359983,1273
FI182,Itä-Uusimaa,1999,3334,2014,4165,1187,2573,8112,297,61,19,356,84,69607,22296,22202,94
FI183,Varsinais-Suomi,1999,19415,17604,28563,10715,15581,7296,1947,723,122,2035,681,357525,105195,104682,513
FI184,Kanta-Häme,1999,8733,7338,11222,2998,4275,243,1240,182,70,1373,251,130726,38158,37925,233
FI185,Päijät-Häme,1999,8221,8834,14149,3681,5921,227,1661,343,137,1053,224,158584,44659,44451,208
FI186,Kymenlaakso,1999,10165,10400,11428,2356,4515,448,998,141,63,1177,202,154821,42104,41893,211
FI187,Etelä-Karjala,1999,6652,8832,8192,1123,3051,112,888,181,35,649,195,112286,30062,29910,152
FI193,Keski-Suomi,1999,12485,15059,13206,5617,5787,161,1707,423,74,1194,500,209870,56488,56213,275
FI194,Etelä-Pohjanmaa,1999,4817,29721,10512,2024,1651,134,1119,1720,37,749,113,157936,52778,52597,181
FI195,Pohjanmaa,1999,6189,4340,5016,1977,1849,25350,1077,258,30,363,160,148455,46807,46609,198
FI196,Satakunta,1999,11341,11859,13808,6661,4143,339,1089,680,69,1451,221,194275,51956,51661,295
FI197,Pirkanmaa,1999,18221,13294,33250,16591,14528,944,3167,769,256,6135,935,355998,108646,108090,556
FI1A1,Keski-Pohjanmaa,1999,1752,6730,2020,941,750,1833,732,462,9,347,159,57695,15810,15735,75
FI1A2,Pohjois-Pohjanmaa,1999,8971,38335,12271,8719,6665,195,1039,806,98,1227,860,277943,79546,79186,360
FI1A3,Lappi,1999,6454,21512,5444,7948,3262,82,406,100,40,743,290,163759,46572,46281,291
FI200,Åland,1999,600,48,99,58,128,3053,13,3,5,9,9,24150,4254,4025,229
FI13,Itä-Suomi,1999,35224,47797,26683,11672,10305,285,3663,1470,175,2707,879,548797,141535,140860,675
FI18,Etelä-Suomi,1999,115782,75945,191651,50549,117718,51777,15625,3163,1116,14290,3430,2002220,643730,641046,2684
FI19,Länsi-Suomi,1999,53053,74273,75792,32870,27958,26928,8159,3850,466,9892,1929,1066534,316675,315170,1505
FI1A,Pohjois-Suomi,1999,17177,66577,19735,17608,10677,2110,2177,1368,147,2317,1309,499397,141928,141202,726
FI20,Åland,1999,600,48,99,58,128,3053,13,3,5,9,9,24150,4254,4025,229
FI1,Manner-Suomi,1999,221236,264592,313861,112699,166658,81100,29624,9851,1904,29206,7547,4116948,1243868,1238278,5590
FI2,Åland,1999,600,48,99,58,128,3053,13,3,5,9,9,24150,4254,4025,229
FI,FINLAND,1999,221836,264640,313960,112757,166786,84153,29637,9854,1909,29215,7556,4141098,1248122,1242303,5819
