NUTSID,NUTSName,Year,PASOK,ND,ANOIX,KKE,SYN,DimAna,EN.KENT,EPEN,KOLLATOS,KEK,EN.IKO,Lefko,PolEco,KKEOK,MLKKE,IkoAKP,CMSocEU,DI.KO,CHR.AYGH,OT,ANTH.DIK,OAKKE,AutA,EOO,OLYMP,EP,KMN,NEED,DiaKini,DimoFront,AnPo,AthDimo,KinMeri,KYP,AnexPP,PTE,IP,EPAK,AKEP,CHRIST,Electorate,Votes,Validvotes,Invalidvotes
GR111,Evros,1994,38627,39918,10538,3799,2950,1519,545,1184,536,697,274,394,307,180,191,264,148,196,155,0,165,138,0,88,70,3,0,6,0,7,0,0,14,0,0,0,0,0,1,0,161863,105900,102914,2986
GR112,Xanthi,1994,18035,19959,5521,1515,2561,1317,548,1000,609,373,325,696,268,249,221,221,165,286,128,228,268,214,0,184,154,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,91830,62567,55047,7520
GR113,Rodopi,1994,20899,17213,5098,2428,3378,1333,446,706,688,565,418,948,386,378,387,361,450,408,304,341,368,348,0,308,266,0,0,0,19,0,0,0,2,0,0,0,24,0,1,0,102945,70515,58471,12044
GR114,Drama,1994,28369,29865,4699,1885,2461,1605,1632,773,364,322,195,206,156,98,112,77,41,94,50,44,72,37,65,36,22,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,115078,75632,73286,2346
GR115,Kavala,1994,36270,35487,7854,4996,4571,1683,903,1028,1005,1236,339,352,243,113,160,132,71,121,119,79,96,113,79,67,124,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142119,101343,97252,4091
GR121,Imathia,1994,38846,31968,8597,6088,4414,1824,1480,1062,539,338,323,352,183,138,198,132,199,128,71,375,95,141,0,63,54,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,128870,101605,97612,3993
GR122,Saloniki,1994,178347,173562,42015,33595,33037,13659,13170,3521,5507,2312,2136,1860,1143,848,783,507,617,494,497,373,532,378,369,239,192,11,230,5,0,6,33,0,8,0,18,5,1,0,0,0,648250,535645,510010,25635
GR123,Kilkis,1994,24941,27979,8108,5370,2985,1544,1256,790,297,214,192,216,125,93,171,99,69,77,77,181,51,69,1,30,0,0,0,105,5,0,10,0,0,0,0,0,2,0,0,0,115665,77416,75057,2359
GR124,Pella,1994,41438,37022,8896,4162,3788,2462,2640,1426,495,512,334,0,241,245,183,184,96,167,79,1347,196,128,0,74,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142962,110208,106170,4038
GR125,Pieria,1994,31972,31446,6702,4221,3496,1840,1034,776,365,154,247,265,180,83,158,111,189,90,55,59,82,77,0,33,40,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,112841,86511,83699,2812
GR126,Serres,1994,54670,63784,18880,7324,5542,3050,1575,1611,870,460,422,594,357,257,242,223,150,239,136,136,160,176,0,95,72,28,0,160,0,0,0,9,0,0,4,1,0,0,5,5,245236,167891,161237,6654
GR127,Chalkidiki,1994,26089,27457,6591,2401,2972,1554,1160,362,253,214,167,193,144,105,84,99,58,90,38,56,100,63,0,38,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,89940,72994,70305,2689
GR131,Grevena,1994,12092,9647,2702,2590,1323,643,190,273,105,74,88,81,57,69,55,49,26,52,21,18,33,44,0,23,20,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,48275,31295,30282,1013
GR132,Kastoria,1994,10646,15705,3649,964,1375,839,160,447,96,81,39,86,49,50,44,27,56,31,24,301,34,29,39,17,10,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,49051,36134,34860,1274
GR133,Kozani,1994,41674,40291,8553,5526,4874,2471,691,1047,325,190,291,358,242,190,166,105,116,131,65,269,149,86,144,53,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153657,111715,108049,3666
GR134,Florina,1994,13455,15357,2575,1489,1377,1172,264,454,98,91,111,145,74,44,58,70,36,67,106,2250,44,66,0,32,19,0,1,20,4,0,0,0,0,0,0,0,0,0,0,0,62094,40873,39479,1394
GR141,Karditsa,1994,36810,32626,10305,8529,3882,1888,1359,1158,257,453,222,212,339,267,163,127,119,125,70,0,93,124,93,54,50,1,0,64,41,8,0,0,0,2,6,0,0,0,0,0,166889,102406,99447,2959
GR142,Larisa,1994,63106,53808,18037,17929,8832,3951,1734,1660,708,358,447,390,600,358,373,192,214,234,155,106,128,236,196,79,64,4,0,354,9,0,1,36,2,24,0,0,0,0,0,0,243038,180100,174325,5775
GR143,Magnisia,1994,46006,41306,9503,9367,7583,2350,1762,1445,525,648,395,363,284,194,263,137,193,157,109,77,106,140,0,65,52,20,78,9,0,0,0,0,8,2,0,1,0,0,1,0,167918,127757,123149,4608
GR144,Trikala,1994,39144,32397,9271,9075,4139,1682,1170,1169,294,285,249,270,328,209,180,128,127,168,105,95,119,167,3,68,76,0,0,126,2,0,0,0,0,0,0,0,0,0,0,0,154581,104087,101046,3041
GR211,Arta,1994,19351,21868,4301,3142,3288,897,221,378,149,407,123,132,115,102,89,67,113,87,33,0,66,59,72,27,26,6,0,0,0,1,12,0,3,0,0,15,1,0,0,0,78990,56944,55151,1793
GR212,Thesprotia,1994,12175,9644,2621,1018,1671,763,105,201,84,145,70,81,87,76,73,57,36,69,19,0,5,28,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52529,29815,29068,747
GR213,Ioannina,1994,39749,34123,8962,7497,7123,2459,633,982,369,818,297,264,464,500,214,145,206,189,80,120,137,123,130,64,65,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,188895,109247,105718,3529
GR214,Preveza,1994,14761,14797,3165,2538,2361,731,148,389,90,197,102,88,81,81,59,60,64,54,41,0,43,41,0,27,26,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,63936,41162,39971,1191
GR221,Zakynthos,1994,8623,7128,1757,2689,1251,634,70,68,44,204,68,78,62,31,44,34,57,32,1,0,21,33,0,20,17,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,32768,24113,22989,1124
GR222,Kerkyra,1994,27407,19360,5829,5266,5038,1323,252,674,315,350,342,0,211,195,146,141,209,115,63,0,97,92,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98274,70920,67462,3458
GR223,Kefallina,1994,8433,6819,1576,2841,1468,751,136,306,196,136,120,109,76,117,81,47,36,45,20,0,33,46,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41390,24628,23427,1201
GR224,Lefkada,1994,5256,4775,1320,1974,1298,740,74,108,63,67,34,73,46,63,40,16,28,0,16,0,21,25,0,16,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27161,16865,16064,801
GR231,Aitoloakarnania,1994,58401,51710,12145,9258,6439,3222,711,1136,378,1705,381,371,297,384,239,179,207,250,231,7,133,131,147,87,110,16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,283171,155085,148278,6807
