NUTSID,NUTSName,Year,PASOK,ND,KKE,SYN,DIKKI,ANOIX,FILEL.,KEK,EN.KENT.,ProtiG,KOLLATOS,ELL.OIK.,RAK,MLKKE,KOM.ELL.,OIK.ENAL,Lefko,KAE,MPA,KOM.FIL,ASKE,Aristera,SEK,ELL.MET.,OT,OAKKE,AKEP,OLYMP,KMN,CHRIST.,ANTH.DIK.,OIK.ENALII,Ind,DimoFront,EthAgo,DiaKini,AthDimo,EPODH,KinMeri,EPAK,EPTAKE,Electorate,Votes,Validvotes,Invalidvotes
GR111,Evros,1999,36001,44898,4618,2503,6847,2680,883,1176,536,470,597,566,212,295,147,184,358,248,161,169,223,206,157,151,0,123,108,99,0,97,0,1,0,4,0,0,0,0,3,0,0,162990,108992,104721,4271
GR112,Xanthi,1999,19228,26962,2349,2793,2673,1631,608,2181,509,226,372,279,190,253,115,176,276,162,106,158,205,132,378,150,129,181,122,93,5,68,0,4,2,0,0,0,1,0,0,0,0,96715,65955,62717,3238
GR113,Rodopi,1999,24292,22732,2778,4971,3859,1541,695,460,487,340,587,386,274,398,200,217,460,243,283,242,378,313,309,221,201,561,263,165,0,146,0,0,0,0,0,0,0,0,0,0,0,108325,72092,68002,4090
GR114,Drama,1999,25076,33375,3103,2196,4472,986,993,641,918,157,259,177,187,113,70,110,156,204,68,71,98,82,68,64,47,29,37,28,0,19,24,2,3,0,0,0,0,0,1,0,0,120808,76613,73834,2779
GR115,Kavala,1999,32089,40911,6692,3897,5670,1869,1073,1746,1605,280,454,382,246,263,89,89,228,279,86,113,121,156,98,111,32,57,70,45,0,31,20,10,4,2,0,0,1,0,0,0,1,141768,102890,98820,4070
GR121,Imathia,1999,33120,38455,8476,3898,9646,1751,886,401,1012,479,464,340,280,305,97,110,227,283,77,93,150,120,97,125,179,78,75,41,1,0,2,2,2,1,0,0,0,1,0,0,1,132818,104935,101275,3660
GR122,Saloniki,1999,159674,195317,52944,28077,37310,11641,8753,3061,7926,4399,5187,2424,2666,1617,614,1000,1212,1980,613,672,658,657,519,1052,304,342,274,261,325,139,312,32,12,0,0,0,0,2,7,0,2,686948,557191,531985,25206
GR123,Kilkis,1999,21840,32849,6889,2749,4490,3235,581,466,692,544,289,257,206,252,76,105,144,50,60,70,128,82,78,78,131,69,32,52,1,0,0,11,7,0,0,0,0,0,1,1,0,114530,78827,76515,2312
GR124,Pella,1999,34587,44426,6209,3364,9041,2196,800,595,1400,495,415,367,272,330,108,86,1,282,205,107,194,118,118,158,658,67,76,36,0,51,11,3,3,16,0,1,1,1,1,0,0,145591,110618,106799,3819
GR125,Pieria,1999,28042,36236,5967,2897,6403,1594,935,765,840,737,330,270,206,243,113,107,142,161,71,99,134,110,93,126,35,58,40,51,0,27,23,0,0,0,0,0,0,0,0,0,0,117871,89720,86855,2865
GR126,Serres,1999,47436,76086,9226,4917,10656,3914,1477,559,1372,517,581,467,426,313,179,195,361,391,297,199,200,174,176,174,87,104,116,76,16,2,37,2,0,2,0,0,1,3,0,1,1,230477,166653,160741,5912
GR127,Chalkidiki,1999,23561,32464,4053,2876,4898,1114,676,457,504,271,313,290,277,162,79,94,2,164,72,85,100,94,69,73,0,47,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,94588,75617,72872,2745
GR131,Grevena,1999,10238,11072,2941,1025,2324,698,306,143,111,182,77,106,47,80,23,50,59,52,38,21,40,28,28,43,14,23,22,208,0,13,6,3,0,0,0,0,0,0,0,0,0,47802,31017,30021,996
GR132,Kastoria,1999,11083,17333,1310,1251,1849,897,577,197,100,87,65,68,118,61,16,13,70,79,23,41,48,53,35,51,119,14,16,22,0,11,13,0,0,0,0,0,0,0,0,0,0,49896,37081,35620,1461
GR133,Kozani,1999,36444,45647,7585,4295,8401,1876,965,461,340,667,289,319,274,240,84,65,201,257,187,106,128,110,87,85,263,55,83,70,3,50,0,6,1,0,0,0,0,0,0,0,4,150380,113705,109648,4057
GR134,Florina,1999,12544,17327,1888,1276,2441,581,360,167,136,417,57,121,111,78,22,34,94,69,42,40,67,41,27,41,1425,27,26,23,0,31,3,1,0,0,0,0,0,0,0,0,0,62080,41058,39517,1541
GR141,Karditsa,1999,30258,39223,10421,3189,6283,2238,825,514,760,239,169,205,156,239,104,99,155,160,135,120,259,137,95,228,0,67,66,49,0,45,16,1,0,7,0,0,4,0,0,0,0,161924,99263,96466,2797
GR142,Larisa,1999,55373,63577,21458,6847,11104,4055,2610,804,1436,1370,584,569,372,486,180,160,368,290,316,201,245,224,184,333,0,113,137,80,100,48,10,31,11,1,0,3,0,0,3,0,0,250228,179808,173683,6125
GR143,Magnisia,1999,39079,44524,12198,5586,7295,2219,1432,1498,1059,868,516,502,329,422,183,278,299,0,178,152,207,164,213,127,0,84,81,0,124,0,0,13,0,4,0,0,4,0,0,1,0,169489,124973,119639,5334
GR144,Trikala,1999,34668,37398,10748,3164,7611,1642,1051,482,593,373,240,318,151,245,3,83,194,218,129,119,159,117,132,103,1,101,98,65,1,44,0,15,1,0,0,5,8,0,0,0,0,158349,103346,100280,3066
GR211,Arta,1999,14295,23036,4042,2100,6814,633,518,776,128,149,116,185,82,138,54,73,135,113,86,49,84,55,66,48,0,26,24,38,0,31,14,4,0,0,1,0,3,0,2,0,2,82612,55762,53920,1842
GR212,Thesprotia,1999,10720,11203,1477,1349,2493,671,320,253,91,59,75,105,52,137,30,43,0,0,38,48,56,36,40,23,0,22,35,20,0,0,0,4,0,0,0,0,0,1,0,0,0,52205,30403,29401,1002
GR213,Ioannina,1999,34695,38837,9407,4947,8090,1939,1556,755,268,199,305,377,317,334,107,141,209,231,371,145,232,168,131,116,0,75,92,69,54,63,23,2,2,0,0,10,0,0,1,0,1,163283,108640,104269,4371
GR214,Preveza,1999,12954,15797,3145,1727,3078,636,508,355,70,108,77,122,78,90,42,36,86,86,82,46,79,50,48,30,0,28,24,32,0,0,25,18,0,0,0,0,10,0,0,0,0,63700,40818,39467,1351
GR221,Zakynthos,1999,7242,8533,3153,1059,1248,244,187,649,50,98,39,76,44,67,33,59,56,36,22,28,32,39,88,23,0,22,15,7,0,6,0,3,0,5,0,0,0,0,0,0,0,33052,24318,23163,1155
