NUTSID,NUTSName,Year,ND,PASOK,KKE,SYN,LA.O.S.,GYN.EYR.,DPE,OIK.PRAS.,EN.KENT,VERGHS,MLKKE,ELL.MET.,DISOK,MERA,ANT.SYM,ASKE,PAT.SYM.,OT,ORAMA,OAKKE,EYR.SYMP,OIK.ENAL.,CHRIST.,Electorate,Voters,Validvotes,Invalidvotes
GR111,Evros,2004,48981,34587,5401,2151,3952,490,2743,543,491,700,386,202,298,183,168,314,169,121,208,123,124,3,0,171643,105145,102338,2807
GR112,Xanthi,2004,28826,20174,4624,2220,1927,475,882,379,421,437,457,311,382,196,271,324,139,173,192,169,213,1,0,107374,67693,63193,4500
GR113,Rodopi,2004,29501,20253,3790,3647,1613,498,932,455,441,637,513,289,403,294,299,388,202,286,247,215,238,0,0,114070,69579,65141,4438
GR114,Drama,2004,35425,23763,3540,2027,3158,380,2038,359,349,302,188,119,165,106,83,143,60,42,72,39,46,0,0,117231,74089,72404,1685
GR115,Kavala,2004,44931,32623,7287,3220,3260,546,1020,536,521,445,312,247,213,113,155,201,121,57,92,84,97,4,1,146947,98869,96086,2783
GR121,Imathia,2004,42184,32546,8735,2875,6009,631,1685,541,617,506,379,156,247,149,164,240,137,219,110,90,16,4,0,138684,100745,98240,2505
GR122,Thessaloniki,2004,223862,161197,57323,22872,39197,4764,6691,6607,4811,2341,2036,1284,1116,947,1054,902,904,370,465,441,333,48,13,751445,554997,539578,15419
GR123,Kilkis,2004,34274,21561,6863,1796,4937,292,1468,394,396,237,287,134,141,108,83,166,118,136,61,72,89,7,2,108728,75078,73622,1456
GR124,Pella,2004,47982,35338,6368,2302,5689,451,1934,505,907,463,277,281,262,384,158,248,141,404,121,85,89,0,0,152237,106834,104389,2445
GR125,Pieria,2004,40404,28470,6323,2432,4279,479,907,480,443,279,269,155,205,109,109,205,148,67,94,64,48,1,0,126330,87619,85970,1649
GR126,Serres,2004,79646,44641,9250,3800,6633,726,1582,674,688,526,470,360,364,327,230,327,165,97,142,143,106,3,1,243284,154864,150901,3963
GR127,Chalkidiki,2004,35822,23539,4556,2560,2877,425,392,542,393,293,216,126,189,107,117,153,93,48,90,55,7,3,0,99118,74609,72603,2006
GR131,Grevena,2004,12231,9849,2745,780,937,109,429,162,148,122,98,67,54,45,42,76,36,12,28,23,14,1,0,45920,28590,28008,582
GR132,Kastoria,2004,19395,10131,1677,946,1196,207,753,160,124,143,95,73,49,39,51,54,149,101,29,17,10,0,0,62448,36352,35399,953
GR133,Kozani,2004,50731,37342,8367,3141,2944,539,2046,1446,418,465,298,352,244,216,141,261,198,199,103,68,71,4,0,161363,112282,109594,2688
GR134,Florina,2004,18412,12236,2252,939,1365,192,648,262,149,189,113,46,77,79,64,78,103,1203,32,26,23,2,0,85084,39532,38490,1042
GR141,Karditsa,2004,42874,29185,8926,2284,2293,389,195,283,358,373,337,389,154,127,156,221,121,66,90,88,46,0,0,141567,90825,88955,1870
GR142,Larisa,2004,74059,55495,20701,5702,6521,827,444,830,789,677,777,367,296,366,242,338,164,88,154,169,76,18,5,248135,172498,169105,3393
GR143,Magnisia,2004,51303,39792,12390,4383,4734,1137,379,1054,624,603,500,349,287,196,185,247,155,67,123,115,81,1,0,177826,121818,118705,3113
GR144,Trikala,2004,42797,32780,10887,2715,2581,525,243,422,348,401,405,295,238,161,296,230,169,79,107,112,91,1,0,153531,97948,95883,2065
GR211,Arta,2004,24892,16275,4249,1802,909,576,129,179,148,263,161,51,113,95,85,100,44,26,90,40,43,0,0,83326,51344,50270,1074
GR212,Thesprotia,2004,13411,11079,1928,1005,709,163,72,120,102,138,184,28,63,68,59,61,22,19,21,27,22,0,0,57940,29852,29301,551
GR213,Ioannina,2004,44067,35117,9610,4388,2420,752,514,580,392,674,547,152,239,430,290,241,124,71,122,107,60,2,0,171984,103461,100899,2562
GR214,Preveza,2004,18189,13623,3576,1472,717,214,97,163,115,238,148,43,94,144,54,67,38,18,38,36,36,13,0,66056,39945,39133,812
GR221,Zakynthos,2004,9252,8330,2876,709,344,138,29,124,37,104,98,25,42,18,51,30,18,11,29,17,12,1,0,43808,22901,22295,606
GR222,Kerkyra,2004,24286,20250,7668,3068,1210,589,429,407,391,315,329,105,120,142,97,151,69,47,55,79,49,0,1,108953,61554,59857,1697
GR223,Kefallina,2004,8829,6909,3713,905,594,206,58,124,141,174,171,41,51,82,41,59,29,19,28,43,0,0,0,56730,22964,22217,747
GR224,Lefkada,2004,5816,4672,2095,807,370,84,33,78,54,105,71,16,24,52,14,22,30,8,21,15,0,0,0,28806,14900,14387,513
GR231,Aitoloakarnania,2004,64339,51272,11053,3399,2829,600,444,455,414,632,418,162,250,444,183,287,159,92,152,84,44,8,2,245829,140609,137722,2887
GR232,Achaia,2004,68601,71384,14987,6591,3899,1349,359,1193,854,1085,516,209,425,444,247,392,223,112,164,131,99,1,0,272194,177749,173265,4484
GR233,Ileia,2004,45378,41387,6020,3312,2120,513,213,350,282,479,294,138,209,232,147,224,170,64,93,71,52,2,4,181189,104207,101754,2453
GR241,Voiotia,2004,31830,27192,7131,2679,3094,467,255,359,325,493,309,187,197,152,159,168,133,56,91,96,69,2,0,112002,77285,75444,1841
GR242,Evvoia,2004,56998,51195,10703,4559,4598,856,335,642,755,850,481,217,291,193,216,283,222,107,162,133,42,4,0,204955,137204,133842,3362
GR243,Evrytania,2004,7520,5825,699,363,444,80,37,72,59,86,34,32,26,32,18,42,20,14,14,12,0,0,0,33402,15745,15429,316
GR244,Fthiotida,2004,52076,37032,7276,2806,4090,630,266,546,375,440,308,617,217,175,207,196,168,56,94,87,80,5,0,158119,110003,107747,2256
GR245,Fokida,2004,14347,9175,2370,905,983,153,70,125,112,171,103,66,67,58,49,54,30,25,23,25,3,0,3,49701,29652,28917,735
GR251,Agrolida,2004,30892,20824,3630,1964,1827,275,225,320,242,347,155,107,112,88,88,119,266,37,60,37,34,2,0,97140,62864,61651,1213
GR252,Arkadia,2004,31941,22966,4424,2464,2104,387,202,257,291,379,195,137,132,147,123,127,164,56,79,42,59,1,0,137114,68099,66677,1422
GR253,Korinthia,2004,40449,32718,4585,3085,3854,607,406,494,372,503,202,215,173,145,154,163,195,56,80,44,1,2,0,137346,90481,88503,1978
GR254,Lakonia,2004,33043,15429,3573,1494,2264,244,107,159,203,220,131,84,93,134,73,91,220,29,52,41,46,1,0,137336,58759,57731,1028
GR255,Messinia,2004,55178,32422,8093,3855,3819,590,691,407,472,419,308,138,174,233,211,142,299,49,75,70,67,2,1,208538,110018,107715,2303
GR300,Attiki,2004,689041,564428,219163,105677,90046,19067,10331,13758,12532,11516,5746,6175,2853,4612,4402,2429,3897,999,1315,1259,914,102,9,2885808,1818511,1770271,48240
GR411,Lesvos,2004,25400,21207,10600,2823,1798,372,150,298,264,362,400,71,162,148,93,135,62,52,79,75,37,1,0,139792,66511,64589,1922
GR412,Samos,2004,10094,7961,4916,1245,606,169,71,137,80,164,144,53,72,54,62,71,21,22,30,35,20,7,0,54303,26871,26034,837
GR413,Chios,2004,14037,12866,2173,1225,411,193,47,134,120,193,93,40,61,54,43,41,36,24,32,17,31,1,0,66470,32802,31872,930
GR421,Dodekanisos,2004,43555,42044,5221,3358,2570,588,278,502,823,679,309,139,229,146,115,210,146,59,113,78,2,10,1,176525,104277,101175,3102
GR422,Kyklades,2004,33185,23706,3752,2797,1228,520,105,439,317,402,204,111,127,116,158,103,105,59,92,53,2,2,1,120018,69392,67584,1808
GR431,Irakleio,2004,55461,85394,8966,5145,2006,801,523,647,289,551,351,87,953,168,155,211,69,60,117,66,43,2,1,239281,165702,162066,3636
GR432,Lasithi,2004,17518,23338,2057,1707,503,217,72,223,128,206,99,39,138,59,55,72,23,27,37,16,30,0,0,70001,47735,46564,1171
GR433,Rethymni,2004,18814,18977,2083,1657,734,206,102,165,147,122,73,40,223,35,62,47,23,18,25,16,22,2,0,69230,44424,43593,831
GR434,Chania,2004,31706,33393,6582,3484,1863,668,251,605,196,417,222,94,214,193,135,144,101,43,53,37,54,3,0,137889,82304,80458,1846
GRZZZ,Abroad votes,2004,9789,9435,2619,905,1364,209,229,177,43,90,3,22,99,42,24,0,0,6,0,3,0,7,0,34113,25546,25066,480
GR11,"Anatoliki Makedonia, Traki",2004,187664,131400,24642,13265,13910,2389,7615,2272,2223,2521,1856,1168,1461,892,976,1370,691,679,811,630,718,8,1,657265,415375,399162,16213
GR12,Kentriki Makedonia,2004,504174,347292,99418,38637,69621,7768,14659,9743,8255,4645,3934,2496,2524,2131,1915,2241,1706,1341,1083,950,688,66,16,1619826,1154746,1125303,29443
GR13,Dytiki Makedonia,2004,100769,69558,15041,5806,6442,1047,3876,2030,839,919,604,538,424,379,298,469,486,1515,192,134,118,7,0,354815,216756,211491,5265
GR14,Thessalia,2004,211033,157252,52904,15084,16129,2878,1261,2589,2119,2054,2019,1400,975,850,879,1036,609,300,474,484,294,20,5,721059,483089,472648,10441
GR21,Ipeiros,2004,100559,76094,19363,8667,4755,1705,812,1042,757,1313,1040,274,509,737,488,469,228,134,271,210,161,15,0,379306,224602,219603,4999
GR22,Ionia Nisa,2004,48183,40161,16352,5489,2518,1017,549,733,623,698,669,187,237,294,203,262,146,85,133,154,61,1,1,238297,122319,118756,3563
GR23,Dytiki Ellada,2004,178318,164043,32060,13302,8848,2462,1016,1998,1550,2196,1228,509,884,1120,577,903,552,268,409,286,195,11,6,699212,422565,412741,9824
GR24,Sterea Ellada,2004,162771,130419,28179,11312,13209,2186,963,1744,1626,2040,1235,1119,798,610,649,743,573,258,384,353,194,11,3,558179,369889,361379,8510
GR25,Peloponnisos,2004,191503,124359,24305,12862,13868,2103,1631,1637,1580,1868,991,681,684,747,649,642,1144,227,346,234,207,8,1,717474,390221,382277,7944
GR30,Attiki,2004,689041,564428,219163,105677,90046,19067,10331,13758,12532,11516,5746,6175,2853,4612,4402,2429,3897,999,1315,1259,914,102,9,2885808,1818511,1770271,48240
GR41,Voreio Aigaio,2004,49531,42034,17689,5293,2815,734,268,569,464,719,637,164,295,256,198,247,119,98,141,127,88,9,0,260565,126184,122495,3689
GR42,Notio Aigaio,2004,76740,65750,8973,6155,3798,1108,383,941,1140,1081,513,250,356,262,273,313,251,118,205,131,4,12,2,296543,173669,168759,4910
GR43,Kriti,2004,123499,161102,19688,11993,5106,1892,948,1640,760,1296,745,260,1528,455,407,474,216,148,232,135,149,7,1,516401,340165,332681,7484
GRZZ,Abroad votes,2004,9789,9435,2619,905,1364,209,229,177,43,90,3,22,99,42,24,0,0,6,0,3,0,7,0,34113,25546,25066,480
GR1,Voreia Ellada,2004,1003640,705502,192005,72792,106102,14082,27411,16634,13436,10139,8413,5602,5384,4252,4068,5116,3492,3835,2560,2198,1818,101,22,3352965,2269966,2208604,61362
GR2,Kentriki Ellada,2004,681334,535076,120259,51632,43198,9473,4971,7154,6136,8115,5163,2770,3112,3508,2566,3019,2643,972,1543,1237,818,46,11,2592468,1529596,1494756,34840
