NUTSID,NUTSName,PASOK,ND,KKE,LA.O.S,SYRIZA,OIK.PRAS,PA.M.ME.,KEK,Drasi,ELL.OIK.,D.V.E.OIK.,ChrysiAygi,ANTARSYA,EN.KENT.,MLKKE,LEYKO,Koinonia,EKAD,KOM.FIL.,KOM.NEON,EEK,ASKE,OT,FS,EL.EN.,OAKKE,PANAK,Electorate,Votes,Validvotes,Invalidvotes
GR111,Evros,32424,34693,4242,6789,2366,2505,737,1347,335,691,522,391,220,258,259,3,99,280,101,2,127,193,75,78,109,61,0,168880,92004,88907,3097
GR112,Xanthi,24722,16177,2393,3099,1846,1398,598,629,233,460,266,241,176,142,287,0,75,169,66,0,153,219,86,70,86,89,7,113476,59095,53687,5408
GR113,Rodopi,20332,17937,2290,3103,2099,1356,499,444,207,359,305,167,142,190,273,2591,96,220,105,0,188,221,113,95,82,122,2,118449,60198,53538,6660
GR114,Drama,21124,22762,2542,4744,2202,1517,1034,1080,444,390,285,146,166,172,119,0,32,169,53,0,65,64,35,39,42,20,0,116556,60993,59246,1747
GR115,Kavala,26684,28088,5094,5587,3471,2173,1346,1706,388,463,437,266,106,247,198,0,72,185,76,0,74,70,32,59,56,38,0,145055,79019,76916,2103
GR121,Imathia,28000,28067,6245,5963,2776,1744,1702,581,331,382,351,228,151,219,242,1,97,168,59,27,94,93,131,73,36,39,0,138301,79603,77800,1803
GR122,Thessaloniki,127883,129240,39402,39933,21508,16054,16915,3261,3979,2706,2106,2113,1394,1979,1235,1499,459,670,453,621,466,411,213,360,237,246,21,786434,425316,415364,9952
GR123,Kilkis,19210,24077,5311,4898,1773,1181,1174,587,203,248,268,242,85,157,182,2,37,121,56,0,91,75,123,35,28,47,8,108000,61478,60219,1259
GR124,Pella,31836,33848,4420,6089,2482,1587,1733,672,262,376,396,340,267,380,224,0,77,161,81,0,99,112,375,75,59,53,7,150266,88105,86011,2094
GR125,Pieria,25259,29138,4485,5233,2489,1728,1682,693,317,349,238,267,114,213,150,3,57,141,48,0,86,75,31,50,32,26,0,129510,74358,72904,1454
GR126,Serres,37131,53286,6723,8728,3631,2954,2333,964,512,647,596,353,318,315,275,7,99,274,132,15,145,158,93,100,106,69,0,241232,123258,119964,3294
GR127,Chalkidiki,20725,23514,3282,4126,2301,1595,1377,723,300,367,313,159,101,176,160,5,56,134,62,1,96,74,48,45,26,44,0,103175,61532,59810,1722
GR131,Grevena,9356,8930,2158,1508,715,483,385,235,85,99,71,81,107,58,72,0,22,44,14,0,40,34,15,18,16,13,0,45061,25173,24559,614
GR132,Kastoria,9152,13785,1410,2334,1156,607,514,351,188,82,118,239,69,76,49,0,33,41,22,0,25,57,143,32,22,13,0,62946,31483,30518,965
GR133,Kozani,33915,34529,6203,4908,3275,2638,1449,704,287,406,404,274,373,187,201,0,72,137,79,0,83,78,160,46,46,55,2,162495,92819,90511,2308
GR134,Florina,10756,12599,1698,2222,994,788,509,384,121,193,196,187,57,98,91,1,47,62,21,0,39,37,1195,25,28,19,0,85098,33464,32367,1097
GR141,Karditsa,29165,29762,6878,4381,2647,1657,363,830,268,389,375,184,259,216,179,0,92,131,79,29,88,88,45,50,55,46,0,137540,80260,78256,2004
GR142,Larisa,50263,50153,15339,9081,5625,4512,1183,982,630,850,658,499,643,378,461,4,264,203,106,55,196,145,58,113,72,87,0,251418,145686,142560,3126
GR143,Magnisia,33483,32453,8934,6973,4674,3692,981,1048,475,685,601,381,391,324,278,438,90,153,78,49,119,99,55,71,36,55,0,178997,99088,96616,2472
GR144,Trikala,31758,30945,8211,4405,2572,1910,559,657,297,443,398,227,299,221,218,1,65,192,62,21,129,121,48,56,60,66,0,152096,86088,83941,2147
GR211,Arta,16642,18343,3313,1915,2615,929,160,732,142,216,249,127,186,95,78,0,46,0,30,15,50,67,37,30,16,21,0,81750,47219,46054,1165
GR212,Thesprotia,11454,10457,1624,1482,992,702,113,391,102,141,172,78,147,68,147,1,23,62,25,15,21,48,12,10,16,27,0,57475,28891,28330,561
GR213,Ioannina,32704,31411,7560,4281,4472,2561,553,1375,582,426,520,219,605,206,319,3,80,194,62,49,117,116,30,81,41,48,4,170151,91103,88619,2484
GR214,Preveza,13525,13897,2995,1644,1700,762,125,457,126,177,185,107,218,65,75,2,22,0,32,17,46,38,15,19,14,19,0,65087,37094,36282,812
GR221,Zakynthos,7971,5631,2518,947,927,613,64,786,67,122,117,44,80,43,61,0,25,0,19,19,17,21,10,15,13,9,0,42961,20664,20139,525
GR222,Kerkyra,19113,14865,5797,2892,2785,2259,240,1691,241,457,433,168,237,155,211,0,76,1,138,43,94,49,26,28,30,35,0,109000,53524,52064,1460
GR223,Kefallina,6523,5824,3131,1408,852,759,96,516,141,166,223,101,103,72,79,0,26,51,24,16,45,37,16,26,11,23,0,56600,20861,20269,592
GR224,Lefkada,4451,4401,1642,618,852,365,79,250,75,64,102,48,125,28,40,0,12,0,26,24,29,20,7,14,6,9,0,28568,13720,13287,433
GR231,Aitoloakarnania,52117,45708,9117,5067,3840,2627,721,1634,462,501,677,485,499,225,306,10,131,143,98,54,125,127,47,88,50,44,0,242336,127662,124903,2759
GR232,Achaia,67071,42074,11074,7261,6585,5288,1269,2053,950,951,957,496,734,402,277,9,283,157,118,97,130,125,64,145,81,34,0,275499,152031,148685,3346
GR233,Ileia,41819,30526,4943,4016,2745,2023,359,2367,341,497,511,353,523,216,177,6,91,174,74,59,73,123,51,54,39,39,0,180008,94424,92199,2225
GR241,Voiotia,24158,18958,5397,4683,2600,1986,398,800,303,393,389,300,274,194,211,2,157,104,77,39,98,90,36,61,33,34,0,112386,63228,61775,1453
