NUTSID,NUTSName,Year,FIDESZ,MDF,MIP,MNSZ,MSZP,MUNKSPRT,SZDP,SZDSZ,Electorate,Votes,Validvotes,Invalidvotes
HU101,Budapest,2004,267598,37822,21313,6041,246476,11673,2623,87482,1383060,684780,681028,3752
HU102,Pest,2004,164128,18717,10443,2564,105353,4680,1247,27750,877236,337000,334882,2118
HU211,Fejer,2004,61853,6041,2559,654,41845,2158,530,8869,340188,125356,124509,847
HU212,Komarom-Esztergom,2004,39882,4176,1699,518,37553,1565,365,6887,250716,93259,92645,614
HU213,Veszprem,2004,64136,7035,2147,541,37103,1931,425,7734,297910,121825,121052,773
HU221,Gyor-Moson-Sopron,2004,83920,9203,2526,768,44635,1930,553,8450,351510,152936,151985,951
HU222,Vas,2004,51519,5473,1443,440,24762,1043,381,5754,214117,91410,90815,595
HU223,Zala,2004,50394,5117,1954,468,27554,1212,337,5323,239907,92883,92359,524
HU231,Baranya,2004,55181,6728,1871,570,46378,2339,472,8584,323082,122883,122123,760
HU232,Somogy,2004,49141,3953,1693,453,32155,1467,314,4866,268994,94636,94042,594
HU233,Tolna,2004,37395,4564,1375,390,22567,1205,260,3908,197974,72170,71664,506
HU311,Borsod-Abauj-Zemplen,2004,84170,8729,4547,1167,80305,4627,901,11112,576121,197055,195558,1497
HU312,Heves,2004,38918,4611,2648,511,35945,2211,427,6056,260201,91989,91327,662
HU313,Nograd,2004,28841,3299,1252,314,22413,2757,271,3043,174063,62656,62190,466
HU321,Hajdu-Bihar,2004,73080,6451,3012,766,42593,2126,534,7249,430652,136889,135811,1078
HU322,Jasz-Nagykun-Szolnok,2004,46359,5076,2117,618,39838,3243,510,6088,328816,104898,103849,1049
HU323,Szabolcs-Szatmar-Bereg,2004,66477,5663,2571,1105,49416,2080,514,6234,443853,135160,134060,1100
HU331,Bacs-Kiskun,2004,82647,9123,2722,871,40161,2435,553,8088,432785,147625,146600,1025
HU332,Bekes,2004,50726,5609,1909,683,35862,2823,505,5684,314462,104704,103801,903
HU333,Csongrad,2004,60487,6499,2374,781,41452,2712,467,8366,338116,124049,123138,911
HU10,Kozep-Magyarorszag,2004,431726,56539,31756,8605,351829,16353,3870,115232,2260296,1021780,1015910,5870
HU21,Kozep-Dunantul,2004,165871,17252,6405,1713,116501,5654,1320,23490,888814,340440,338206,2234
HU22,Nyugat-Dunantul,2004,185833,19793,5923,1676,96951,4185,1271,19527,805534,337229,335159,2070
HU23,Del-Dunantul,2004,141717,15245,4939,1413,101100,5011,1046,17358,790050,289689,287829,1860
HU31,Eszak-Magyarorszag,2004,151929,16639,8447,1992,138663,9595,1599,20211,1010385,351700,349075,2625
HU32,Eszak-Alfold,2004,185916,17190,7700,2489,131847,7449,1558,19571,1203321,376947,373720,3227
HU33,Del-Alfold,2004,193860,21231,7005,2335,117475,7970,1525,22138,1085363,376378,373539,2839
HU1,Kozep-Magyarorszag,2004,431726,56539,31756,8605,351829,16353,3870,115232,2260296,1021780,1015910,5870
HU2,Dunantul,2004,493421,52290,17267,4802,314552,14850,3637,60375,2484398,967358,961194,6164
HU3,Alfold es Eszak,2004,531705,55060,23152,6816,387985,25014,4682,61920,3299069,1105025,1096334,8691
HU,HUNGARY,2004,1457750,164025,72203,20226,1054921,56221,12196,237908,8046247,3096179,3075450,20729
HU,Hungary summarized,2004,1456852,163889,72175,20223,1054366,56217,12189,237527,8043763,3094163,3073438,20725
