NUTSID,NUTSName,FIDESZKDNP,JOBBIK,LMPHP,MCFROMA.,MDF,MSZP,MUNKSPRT,SZDSZ,Electorate,Votes,Validvotes,Invalidvotes
HU101,Budapest,290118,75914,29447,1029,39413,134416,5628,26907,1352562,607434,602872,4256
HU102,Pest,201257,59024,10568,1036,19255,53333,2602,7817,940655,357703,354892,2735
HU211,Fejér,69828,16523,2792,190,6512,19965,1085,2007,345911,119956,118902,1010
HU212,Komárom-Esztergom,46861,10594,1733,235,4853,17772,906,1586,251753,85253,84540,694
HU213,Veszprém,63197,14131,2316,143,5615,17258,813,1667,297355,105986,105140,809
HU221,Gy?r-Moson-Sopron,87663,15981,2570,173,7401,19494,882,1794,356975,137038,135958,1057
HU222,Vas,56220,7607,1462,110,4078,10945,439,1368,213059,82985,82229,739
HU223,Zala,52048,10672,1318,268,4248,12063,575,1255,238086,83199,82447,735
HU231,Baranya,62255,11118,2651,713,5498,18913,972,1742,321263,104719,103862,831
HU232,Somogy,55993,9520,1376,295,3640,14369,740,1087,264868,87767,87020,734
HU233,Tolna,42472,7704,1010,226,3143,10117,471,826,194712,66560,65969,583
HU311,Borsod-Abaúj-Zemplén,90153,42011,2823,1385,7427,35423,2252,2108,564568,185397,183582,1780
HU312,Heves,43676,17594,1531,1043,4132,16773,1035,1461,255645,88074,87245,812
HU313,Nógrád,32160,11117,830,434,2592,10536,1121,719,169740,60120,59509,605
HU321,Hajdú-Bihar,87231,24600,2815,566,7555,18098,1342,1661,432506,145188,143868,1284
HU322,Jász-Nagykun-Szolnok,52743,18806,1630,315,4706,17558,1712,1399,323084,99957,98869,1062
HU323,Szabolcs-Szatmár-Bereg,80762,26030,1612,3904,5890,19930,1216,1461,443320,142657,140805,1827
HU331,Bács-Kiskun,94088,17869,2373,838,6339,19152,1193,2148,431391,145198,144000,1176
HU332,Békés,56516,16397,1585,350,4532,16854,1471,1326,306544,99984,99031,927
HU333,Csongrád,65397,14051,2754,171,6621,19777,1361,1995,338248,113231,112127,1076
HUZZZ,Abroad votes,1671,510,326,7,210,394,1,193,3841,3373,3312,37
HU10,Közép-Magyarország,491375,134938,40015,2065,58668,187749,8230,34724,2293217,965137,957764,6991
HU21,Közép-Dunántúl,179886,41248,6841,568,16980,54995,2804,5260,895019,311195,308582,2513
HU22,Nyugat-Dunántúl,195931,34260,5350,551,15727,42502,1896,4417,808120,303222,300634,2531
HU23,Dél-Dunántúl,160720,28342,5037,1234,12281,43399,2183,3655,780843,259046,256851,2148
HU31,Észak-Magyarország,165989,70722,5184,2862,14151,62732,4408,4288,989953,333591,330336,3197
HU32,Észak-Alföld,220736,69436,6057,4785,18151,55586,4270,4521,1198910,387802,383542,4173
HU33,Dél-Alföld,216001,48317,6712,1359,17492,55783,4025,5469,1076183,358413,355158,3179
HUZZ,Abroad votes,1671,510,326,7,210,394,1,193,3841,3373,3312,37
HU1,KÖZÉP-MAGYARORSZÁG,491375,134938,40015,2065,58668,187749,8230,34724,2293217,965137,957764,6991
HU2,DUNÁNTÚL,536537,103850,17228,2353,44988,140896,6883,13332,2483982,873463,866067,7192
HU3,ALFÖLD ÉS ÉSZAK,602726,188475,17953,9006,49794,174101,12703,14278,3265046,1079806,1069036,10549
HUZ,ABROAD VOTES,1671,510,326,7,210,394,1,193,3841,3373,3312,37
HU,HUNGARY,1632309,427773,75522,13431,153660,503140,27817,62527,8046086,2921779,2896179,24769
