NUTSID,NUTSName,Year,VATBLNNK,JL,PCTVL,TP,SLC,TSP,LSDSP,ZZS,LPP,SDLP,KP,LSP,LG,Eiroskeptiki,LKDS,SDS,Other,Electorate,Votes,Validvotes,Invalidvotes
LV003,Kurzeme,2004,30847,16159,2589,6848,4377,1476,3986,2866,3271,303,1041,415,115,789,286,271,2917,194853,76441,75639,802
LV005,Latgale,2004,12760,8768,17478,3540,5737,10637,5482,5392,2468,1658,2273,4855,7132,552,562,422,15796,237912,91125,89716,1409
LV006,Riga,2004,45066,31520,30314,8382,10010,10917,6343,3162,3861,7509,2001,1939,399,1551,588,407,6885,376320,165795,163969,1826
LV007,Pieriga,2004,32568,24279,5814,6898,7476,2181,4131,3439,3612,1872,1627,735,271,957,360,261,4211,231746,97492,96481,1011
LV008,Vidzeme,2004,27383,17536,1678,7196,5527,558,3579,4899,2542,382,1109,598,281,761,240,191,3180,173780,75148,74460,688
LV009,Zemgale,2004,22149,14714,3513,5256,4242,1710,3917,4580,2892,1142,1661,934,223,858,304,430,4410,179910,69287,68525,762
LVZZZ,Voting by post from abroad,2004,1086,617,15,204,355,27,30,129,39,5,4,4,18,13,22,6,67,3215,2593,2574,19
LV00,Latvia,2004,171859,113593,61401,38324,37724,27506,27468,24467,18685,12871,9716,9480,8439,5481,2362,1988,37466,1397736,577881,571364,6517
LV0,Latvia,2004,171859,113593,61401,38324,37724,27506,27468,24467,18685,12871,9716,9480,8439,5481,2362,1988,37466,1397736,577881,571364,6517
LV,Latvia,2004,171859,113593,61401,38324,37724,27506,27468,24467,18685,12871,9716,9480,8439,5481,2362,1988,37466,1397736,577881,571364,6517
