RegionCode,Region,PS,SC,PCTVL,LPPLC,VATBLNNK,JL,Libertas.lv,SCP,LSDSP,ZZS,VL,TP,DZIMTENE,RB,KDS,OP,LAP,Other,Electorate,Votes,Validvotes,Invalidvotes
1,Riga,55929,61999,42320,16531,13359,14146,7349,6912,7640,3022,5522,3120,1746,1350,431,337,310,4174,411018,246418,242023,4395
11,Riga (city),55255,61212,41607,16300,13175,13753,7272,6813,7503,2845,5398,2979,1628,1323,394,269,270,3884,406485,242391,237996,4395
12,Pasta balsosanas iecirknis,674,787,713,231,184,393,77,99,137,177,124,141,118,27,37,68,40,290,4533,4027,4027,0
2,Vidzeme,61365,19940,11299,18078,20178,18300,11607,10579,9494,8082,8245,6961,981,899,672,477,544,3573,400343,213461,207701,5760
21,Jurmala,4693,3876,2619,1305,1542,1160,846,824,824,282,538,380,156,81,74,43,23,377,34172,19825,19266,559
22,Valmiera,3200,655,449,1133,1297,906,537,451,575,270,261,489,21,36,14,21,8,100,19083,10522,10323,199
23,Alojas novads,884,76,22,141,224,245,171,218,137,191,113,74,2,10,4,9,3,28,4676,2581,2524,57
24,Aluksnes novads,2092,687,190,608,704,608,370,502,263,433,217,349,30,27,15,24,30,126,14711,7325,7149,176
25,Amatas novads,730,88,36,191,232,242,241,127,92,194,112,105,10,6,5,1,3,25,4792,2460,2415,45
26,Apes novads,542,66,17,154,165,147,135,89,73,92,55,51,4,13,5,5,9,36,3347,1652,1622,30
27,Adazu novads,912,452,194,429,340,264,214,141,183,86,126,81,16,13,7,4,10,50,6231,3577,3472,105
28,Babites novads,974,366,242,279,308,290,151,191,139,101,145,59,24,10,18,7,14,73,6011,3404,3318,86
29,Baldones novads,676,103,36,152,234,161,107,120,106,62,126,42,3,21,4,3,3,34,3907,2035,1959,76
2a,Beverinas novads,367,37,30,172,214,105,98,79,55,126,58,72,0,5,2,2,5,14,2704,1491,1427,64
2b,Burtnieku novads,815,139,83,351,329,327,206,206,179,130,115,166,4,5,7,5,6,27,6415,3161,3073,88
2c,Carnikavas novads,648,272,181,207,324,232,151,124,114,38,105,39,11,9,3,9,11,43,4272,2525,2478,47
2d,Cesvaines novads,285,40,11,65,89,162,74,45,50,34,72,57,2,3,13,2,3,23,2446,1037,1007,30
2e,Cesu novads,2435,454,182,601,729,700,419,351,373,347,238,424,9,17,20,12,7,65,15066,7534,7318,216
2f,Erglu novads,534,67,15,94,139,150,103,79,69,58,115,53,1,6,7,4,9,27,2831,1545,1503,42
2g,Garkalnes novads,650,333,213,206,217,275,139,130,91,94,88,57,14,24,3,4,11,56,4422,2629,2549,80
2h,Gulbenes novads,2154,593,261,847,723,723,531,499,374,677,318,428,27,25,18,23,28,121,19452,8550,8249,301
2i,Ikskiles novads,1234,201,144,298,445,467,222,236,198,98,164,84,8,22,21,9,7,67,6223,3960,3858,102
2j,Incukalna novads,541,569,262,188,184,308,169,98,113,55,91,70,30,15,10,9,12,76,5165,2790,2724,66
2k,Jaunpiebalgas novads,350,39,7,70,95,80,70,78,46,100,45,32,1,4,2,6,2,15,2118,1060,1027,33
2l,Krimuldas novads,813,55,23,208,280,263,147,95,143,106,107,65,4,13,3,3,18,41,4502,2393,2346,47
2m,keguma novads,730,171,75,208,249,248,166,98,103,156,137,93,11,7,5,4,6,33,4719,2559,2467,92
2n,kekavas novads,2764,926,533,719,852,668,472,423,366,203,313,187,45,50,55,9,15,174,14651,8832,8600,232
2o,Lielvardes novads,1658,234,132,406,484,360,262,124,173,148,157,113,19,29,21,10,15,94,8397,4468,4345,123
2p,Limbazu novads,2373,319,148,829,773,640,394,366,480,373,428,312,25,17,12,7,14,75,15217,7671,7510,161
2q,Ligatnes novads,450,70,26,134,228,244,92,84,55,57,70,57,8,11,8,6,9,42,3145,1664,1609,55
2r,Lubanas novads,417,22,5,74,79,85,79,71,62,48,65,44,1,3,4,3,8,19,2279,1110,1070,40
2s,Madonas novads,2801,614,177,675,798,1400,613,467,522,358,598,469,24,46,35,29,15,149,21618,9937,9641,296
2u,Mazsalacas novads,499,60,22,111,166,157,106,170,107,61,85,59,3,6,4,2,11,26,3137,1677,1629,48
2v,Malpils novads,365,88,23,122,153,132,72,79,58,46,127,34,5,4,0,6,4,19,2974,1359,1318,41
2w,Marupes novads,1400,669,330,580,533,543,235,228,185,115,192,144,42,47,10,2,2,103,8901,5366,5257,109
2x,Nauksenu novads,251,19,6,72,79,73,49,73,42,53,45,45,0,0,1,3,0,4,1784,821,811,10
2y,Ogres novads,4535,1591,867,1146,1420,1166,716,606,579,502,617,335,59,56,112,25,29,281,28073,14823,14361,462
2z,Olaines novads,1006,1471,1190,590,370,283,208,228,349,121,162,100,107,15,12,12,6,152,10952,6494,6230,264
2æ,Pargaujas novads,564,55,16,166,241,183,145,104,106,137,68,88,8,7,10,1,5,31,3506,1975,1904,71
2ø,Priekulu novads,1006,228,126,270,320,314,193,158,135,181,118,136,5,11,6,9,3,34,6796,3335,3219,116
2å,Raunas novads,416,56,14,109,183,117,104,90,55,84,78,57,2,5,3,5,5,20,3154,1428,1383,45
2a1,Ropazu novads,547,213,112,194,273,290,137,163,98,80,120,64,21,15,7,7,5,55,4605,2433,2346,87
2a2,Rujienas novads,779,76,12,191,225,286,196,178,120,113,105,124,5,12,6,8,6,37,4950,2493,2442,51
2a3,Salacgrivas novads,1181,130,53,570,378,389,243,160,184,136,140,99,5,21,7,13,8,54,7442,3850,3717,133
2a4,Salaspils novads,1541,1559,1155,408,424,431,254,290,243,142,189,146,86,53,11,11,4,165,12461,7101,6947,154
2a5,Saulkrastu novads,1051,165,97,197,324,187,143,193,126,51,119,77,1,8,12,4,2,27,4681,2815,2757,58
2a6,Sejas novads,356,43,24,93,99,107,75,47,49,42,58,36,5,6,4,4,2,21,1868,1073,1050,23
2a7,Siguldas novads,2440,376,144,685,759,751,372,327,299,259,237,155,27,14,25,7,103,176,12875,7090,6980,110
2a8,Smiltenes novads,2314,167,38,558,569,367,307,359,153,349,180,192,6,20,14,13,19,72,11248,5756,5625,131
2a9,Stopinu novads,814,708,371,307,278,210,153,98,157,65,173,90,57,26,6,6,4,99,5912,3622,3523,99
2a10,Strencu novads,360,189,141,153,119,69,109,78,60,41,52,41,9,4,3,2,2,20,2728,1458,1432,26
2a11,Valkas novads,1225,246,135,287,280,204,232,266,116,162,108,275,10,14,8,50,6,88,7629,3707,3624,83
2a12,Valmieras novads,796,123,71,225,372,229,159,138,118,170,115,108,5,11,4,7,4,31,5280,2727,2655,72
2a13,Varaklanu novads,545,96,25,126,133,189,106,95,82,102,84,43,1,7,7,6,7,28,3080,1717,1654,63
2a14,Vecpiebalgas novads,652,88,14,174,203,163,114,135,115,153,96,61,2,9,5,1,3,20,3735,2044,1988,56
3,Latgale,14129,52913,12443,7480,4521,3961,3846,2221,2923,7995,1671,4469,884,384,653,576,418,2915,238911,125429,121487,3942
31,Daugavpils,1492,20721,5524,2239,496,379,663,271,463,314,148,441,334,67,79,170,109,759,62973,34975,33910,1065
32,Rezekne,1051,7928,1175,594,466,341,330,231,328,554,150,289,54,84,74,46,42,300,26273,14147,13737,410
33,Aglonas novads,298,640,217,98,78,89,99,25,56,131,32,81,21,8,62,14,1,106,3433,2034,1950,84
34,Baltinavas novads,125,75,12,46,58,28,45,25,17,97,31,17,5,0,4,5,2,16,1100,633,592,41
35,Balvu novads,1378,932,276,490,709,331,270,155,161,664,143,290,28,30,32,22,34,146,12361,6184,5945,239
36,Ciblas novads,354,275,115,107,71,56,100,28,43,159,48,87,18,5,19,6,5,53,2596,1537,1496,41
37,Dagdas novads,378,1059,350,285,174,99,146,179,78,325,32,115,45,13,13,12,22,105,6939,3406,3325,81
38,Daugavpils novads,827,3824,787,1050,256,236,348,213,204,401,105,280,74,18,43,57,36,228,19233,9034,8759,275
39,Ilukstes novads,815,677,221,187,250,170,154,131,93,336,96,69,24,3,18,22,10,77,6648,3376,3276,100
