NUTSID,NUTSName,Year,DP,LSP,TS,LCS,VNDPS,LDP,KmS,NS,LKD,KKSS,TPP,NCP,Electorate,Votes,Validvotes,Invalidvotes
LT001,Altyaus apskritis,2004,23122,11175,7643,5036,4088,3649,370,5890,2174,1592,611,242,147038,70187,65592,4595
LT002,Kauno apskritis,2004,79723,37902,39071,29841,15354,14492,1685,11461,6136,5723,4355,624,525926,260675,246367,14308
LT003,Klaipedos apskritis,2004,35720,14989,11944,20931,8574,9926,4455,5819,3598,3444,1631,292,289082,130578,121323,9255
LT004,Marijampoles apskritis,2004,22421,10866,7597,4801,5337,4321,98,2787,2504,1454,472,133,144211,67005,62791,4214
LT005,Panevezio apskritis,2004,37202,17586,14506,10076,12501,7146,397,4854,4706,3529,993,302,231153,121439,113798,7641
LT006,Siauliai apskritis,2004,49354,18096,11179,10195,11329,9974,606,6355,3219,2976,1903,500,278506,134002,125686,8316
LT007,Taurages apskritis,2004,12776,8738,5342,4462,3494,2560,146,2453,1491,1572,297,98,102297,46875,43429,3446
LT008,Telsiai apskritis,2004,21124,7055,4325,4181,5219,7619,189,1983,1660,4178,427,148,133660,62121,58108,4013
LT009,Utenos apskritis,2004,21914,10390,7102,4580,7570,3460,1996,3003,2951,1678,507,195,143143,69798,65346,4452
LT00A,Vilniaus apskritis,2004,60640,37327,43124,41497,15985,19273,58995,13922,4723,4915,3098,1129,659295,321368,304628,16740
LT00,Lietuva,2004,363996,174124,151833,135601,89452,82420,68937,58527,33162,31061,14294,3663,2654311,1284050,1207070,76980
LT0,Lietuva,2004,363996,174124,151833,135601,89452,82420,68937,58527,33162,31061,14294,3663,2654311,1284050,1207070,76980
LT,Lietuva,2004,363996,174124,151833,135601,89452,82420,68937,58527,33162,31061,14294,3663,2654311,1284050,1207070,76980
