NUTSID,NUTSName,TS,LSDP,TT,DP,LLRA,LRLS,LCS,LCP,KKSS,FRONTAS,LVLS,PDP,ZP,TPP,TPLK,Electorate,Votes,Validvotes,Invalidvotes
LT001,Alytaus apskritis,7458,6570,2863,2519,130,1537,756,1379,919,702,442,327,140,348,79,145983,26974,26169,805
LT002,Kauno apskritis,35428,18047,11336,11607,431,10570,2892,3434,3065,2603,1173,1498,817,1205,280,532030,107143,104386,2757
LT003,Klaipedos apskritis,13350,9116,8122,3725,2283,7037,1123,1703,1570,1352,512,605,1865,462,117,300356,54701,52942,1759
LT004,Marijampoles apskritis,7246,7336,3427,2461,41,1164,498,779,939,659,932,331,115,381,120,144531,27142,26429,713
LT005,Panevezio apskritis,14269,11236,5660,4860,111,2972,991,1707,1936,1338,1710,745,284,596,110,230092,49899,48525,1374
LT006,Siauliu apskritis,10848,13453,8260,6072,161,2445,1365,1922,1461,1602,1534,762,743,672,165,272347,53034,51465,1569
LT007,Taurages apskritis,4556,6031,2970,1448,25,774,762,509,734,398,317,402,354,262,31,101769,20202,19573,629
LT008,Telsiu apskritis,5022,5066,5752,2398,38,1105,439,807,1340,774,403,365,1496,224,75,135041,25957,25304,653
LT009,Utenos apskritis,7019,6545,3973,3227,431,1289,996,896,1256,804,1709,344,145,381,72,141811,29881,29087,794
LT00A,Vilniaus apskritis,42560,18947,14874,10051,42642,11609,9283,3868,2888,3109,1553,2046,1002,1186,519,688437,169870,166137,3733
LT00,Lithuania,147756,102347,67237,48368,46293,40502,19105,17004,16108,13341,10285,7425,6961,5717,1568,2692397,564803,550017,14786
LT0,Lithuania,147756,102347,67237,48368,46293,40502,19105,17004,16108,13341,10285,7425,6961,5717,1568,2692397,564803,550017,14786
LT,LITHUANIA,147756,102347,67237,48368,46293,40502,19105,17004,16108,13341,10285,7425,6961,5717,1568,2692397,564803,550017,14786
