NUTSID,NUTSName,Year,CDA,PvdA,VVD,D66,SGR,GL,DG,SP,CD,EBT,LDG,Electorate,Votes,Validvotes,Invalidvotes
NL111,Oost-Groningen,1994,9508,14898,4959,2895,2984,1214,1697,570,261,82,67,119101,39298,39135,163
NL112,Delfzijl en omgeving,1994,4181,4554,1718,1227,1169,363,623,157,90,24,19,41653,14133,14125,8
NL113,Overig Groningen,1994,24704,32170,16059,12174,13100,6259,5679,2045,524,174,158,278143,113258,113046,212
NL121,Noord-Friesland,1994,33714,27126,11625,7886,7386,2407,2924,677,413,140,130,241337,94653,94428,225
NL122,Zuidwest-Friesland,1994,11929,6557,3331,2150,1479,601,788,143,93,40,47,73023,27204,27158,46
NL123,Zuidoost-Friesland,1994,17509,18392,8035,5048,4407,1608,1728,480,339,95,129,146127,57927,57770,157
NL131,Noord-Drenthe,1994,10447,16860,11399,5985,3732,1553,1828,414,274,104,46,124169,52754,52642,112
NL132,Zuidoost-Drenthe,1994,13031,12764,5901,3522,1704,670,1136,458,181,68,34,116871,39556,39469,87
NL133,Zuidwest-Drenthe,1994,13567,11929,8407,4060,3477,862,1048,229,197,75,40,106379,43970,43891,79
NL211,Noord-Overijssel,1994,37102,20290,12632,8265,24089,2424,2243,494,464,136,131,245706,108485,108270,215
NL212,Zuidwest-Overijssel,1994,13198,10036,6920,4413,827,1330,1025,359,209,59,110,99182,38557,38486,71
NL213,Twente,1994,71609,34462,22390,15469,15152,3848,3198,1707,1074,296,2134,440055,171892,171339,553
NL221,Veluwe,1994,57422,30544,31806,17209,43986,5161,3589,942,1225,366,259,454717,192924,192509,415
NL225,Achterhoek,1994,42889,27275,20094,11337,2841,2687,2553,767,565,196,434,281503,111898,111638,260
NL226,Arnhem/Nijmegen,1994,55000,46448,28177,23803,4354,10126,4849,2966,1211,425,317,516038,178324,177676,648
NL224,Zuidwest-Gelderland,1994,15418,12968,10393,5393,7320,1231,887,580,579,117,67,154198,55085,54953,132
NL230,Flevoland,1994,15009,13678,12154,8379,6823,1938,1766,930,788,194,320,176941,62151,61979,172
NL310,Utrecht,1994,81328,61256,63059,39408,33782,16646,8478,2832,2986,626,540,789831,311746,310941,805
NL321,Kop van Noord-Holland,1994,26494,21923,19122,10059,2922,2958,2159,633,855,268,97,254111,87749,87490,259
NL322,Alkmaar en omgeving,1994,16626,15492,12420,7758,1465,2628,1796,901,582,174,118,165222,60063,59960,103
NL323,Ijmond,1994,12130,12478,8797,5702,1205,1743,1177,345,478,171,54,129432,44375,44280,95
NL324,Agglomeratie Haarlem,1994,15226,15415,15586,8166,1516,3101,2245,390,527,147,104,171999,62576,62423,153
NL325,Zaanstreek,1994,7166,10907,6274,4694,1217,2345,947,402,467,111,70,110835,34690,34600,90
NL326,Groot Amsterdam,1994,45332,84105,54407,35127,5590,20098,8610,3681,4440,910,416,837525,264737,262716,2021
NL327,Het Gooi en Vechtstreek,1994,16700,14576,19626,8916,4294,2424,1854,514,638,181,109,181002,69960,69832,128
NL331,Aggl. Leiden en Bollenstreek,1994,31501,21148,24661,14065,8627,4951,2749,1312,911,344,137,284039,110829,110406,423
NL332,Agglomeratie 's-Gravenhage,1994,40981,38415,47202,24199,7083,6138,4356,3226,2985,971,332,524788,176571,175888,683
NL333,Delft en Westland,1994,22807,10990,13668,7317,4206,2581,1312,515,618,290,51,166017,64570,64355,215
NL334,Oost-Zuid-Holland,1994,25171,16244,19019,10991,12930,2410,1606,952,988,279,92,230331,90888,90682,206
NL335,Groot Rijnmond,1994,66263,76959,58551,35358,34810,9409,5383,5320,6106,1177,415,971860,300904,299751,1153
NL336,Zuidoost-Zuid-Holland,1994,25699,23683,17808,11277,24253,2112,1386,707,1330,228,98,294232,108842,108581,261
NL341,Zeeuwsch-Vlaanderen,1994,7910,5206,5038,4879,2588,476,602,186,454,133,28,84152,27675,27500,175
NL342,Overig Zeeland,1994,17722,12911,11687,7916,17270,1576,1462,547,632,110,85,195417,72088,71918,170
NL411,West-Noord-Brabant,1994,48061,26837,26188,18240,2327,3577,2889,1301,1905,518,207,441132,132377,132050,327
NL412,Midden-Noord-Brabant,1994,42414,20055,16107,12385,5975,3567,1747,2919,1115,334,175,338996,107014,106793,221
NL413,Noordoost-Noord-Brabant,1994,62657,28134,20650,15577,1096,3758,2147,5480,1164,385,172,425828,141662,141220,442
NL414,Zuidoost-Noord-Brabant,1994,72904,32694,27135,22535,2034,5202,2756,3037,1651,498,542,513619,171465,170988,477
NL421,Noord-Limburg,1994,34611,10543,8313,6629,412,1847,945,626,879,158,72,201033,65166,65035,131
NL422,Midden-Limburg,1994,30988,9215,7882,6169,456,1830,485,451,868,169,133,163780,58956,58646,310
NL423,Zuid-Limburg,1994,73181,34164,16661,23535,1534,8309,2168,5045,2147,750,332,510999,168563,167826,737
NL11,Groningen,1994,38393,51622,22736,16296,17253,7836,7999,2772,875,280,244,438897,166689,166306,383
NL12,Friesland,1994,63152,52075,22991,15084,13272,4616,5440,1300,845,275,306,460487,179784,179356,428
NL13,Drenthe,1994,37045,41553,25707,13567,8913,3085,4012,1101,652,247,120,347419,136280,136002,278
NL21,Overijssel,1994,121909,64788,41942,28147,40068,7602,6466,2560,1747,491,2375,784943,318934,318095,839
NL22,Gelderland,1994,170729,117235,90470,57742,58501,19205,11878,5255,3580,1104,1077,1406456,538231,536776,1455
NL23,Flevoland,1994,15009,13678,12154,8379,6823,1938,1766,930,788,194,320,176941,62151,61979,172
NL31,Utrecht,1994,81328,61256,63059,39408,33782,16646,8478,2832,2986,626,540,789831,311746,310941,805
NL32,Noord-Holland,1994,139674,174896,136232,80422,18209,35297,18788,6866,7987,1962,968,1850126,624150,621301,2849
NL33,Zuid-Holland,1994,212422,187439,180909,103207,91909,27601,16792,12032,12938,3289,1125,2471267,852604,849663,2941
NL34,Zeeland,1994,25632,18117,16725,12795,19858,2052,2064,733,1086,243,113,279569,99763,99418,345
NL41,Noord-Brabant,1994,226036,107720,90080,68737,11432,16104,9539,12737,5835,1735,1096,1719575,552518,551051,1467
NL42,Limburg,1994,138780,53922,32856,36333,2402,11986,3598,6122,3894,1077,537,875812,292685,291507,1178
NL1,Noord-Nederland ,1994,138590,145250,71434,44947,39438,15537,17451,5173,2372,802,670,1246803,482753,481664,1089
NL2,Oost-Nederland ,1994,307647,195701,144566,94268,105392,28745,20110,8745,6115,1789,3772,2368340,919316,916850,2466
NL3,West-Nederland ,1994,459056,441708,396925,235832,163758,81596,46122,22463,24997,6120,2746,5390793,1888263,1881323,6940
NL4,Zuid-Nederland ,1994,364816,161642,122936,105070,13834,28090,13137,18859,9729,2812,1633,2595387,845203,842558,2645
NLPOSTAL1,Briefstemmers,1994,1746,1568,4582,1726,371,579,386,71,86,24,23,15936,11195,11162,33
NL,NETHERLANDS,1994,1271855,945869,740443,481843,322793,154547,97206,55311,43299,11547,8844,11618677,4146730,4133557,13173
