NUTSID,NUTSName,Year,CDA,CD,EP,D66,EVPN,GL,LijstSala,PvdA,SP,SGPGPVRPF,VVD,Electorate,Votes,Validvotes,Invalidvotes
NL111,Oost-Groningen,1999,8418,177,300,1064,57,2902,74,11680,1808,2727,5153,119464,34522,34360,162
NL112,Delfzijl en omgeving,1999,3511,49,125,421,22,908,14,3485,616,1121,1656,40415,11955,11928,27
NL113,Overig Groningen,1999,20516,280,1015,5639,159,14485,137,24569,5478,12107,15105,278902,99948,99490,458
NL121,Noord-Friesland,1999,29282,221,521,2868,126,8351,84,19984,3675,6124,11728,245312,83231,82964,267
NL122,Zuidwest-Friesland,1999,10264,51,191,800,56,2283,34,5057,1043,1281,3777,75958,24907,24837,70
NL123,Zuidoost-Friesland,1999,14902,173,415,1881,64,5059,60,14359,2064,4079,8380,150581,51583,51436,147
NL131,Noord-Drenthe,1999,10121,190,412,2558,77,5360,82,13658,1682,3714,10625,134622,48585,48479,106
NL132,Zuidoost-Drenthe,1999,11149,125,213,1600,72,2909,73,11371,1664,1623,6346,128913,37220,37145,75
NL133,Zuidwest-Drenthe,1999,9988,98,182,1469,62,2704,54,8145,1229,3277,6594,96043,33860,33802,58
NL211,Noord-Overijssel,1999,32255,263,377,3414,142,7685,91,17555,2833,23162,12916,256498,101035,100693,342
NL212,Zuidwest-Overijssel,1999,10031,110,166,1699,50,4079,61,7866,1237,939,6447,101658,32768,32685,83
NL213,Twente,1999,52620,468,562,5117,331,12097,211,26779,6054,14221,20420,446964,139470,138880,590
NL221,Veluwe,1999,43808,654,936,6799,381,15286,270,25140,4299,42972,30816,465985,171854,171361,493
NL225,Achterhoek,1999,34439,341,450,4185,216,9344,146,22145,3730,3016,18949,288224,97291,96961,330
NL226,Arnhem/Nijmegen,1999,42138,641,937,9972,368,26247,280,34932,10285,3992,27788,526999,158414,157580,834
NL224,Zuidwest-Gelderland,1999,12063,295,240,2226,95,4350,87,10478,1917,7333,10883,163290,50077,49967,110
NL230,Flevoland,1999,13240,284,446,3616,247,7125,252,12688,2400,7871,14611,215127,63004,62780,224
NL310,Utrecht,1999,57303,1046,1545,19322,898,41926,669,46797,12054,33762,60790,821705,277240,276112,1128
NL321,Kop van Noord-Holland,1999,17145,314,603,3799,336,7916,269,15370,3072,2635,16903,264342,68679,68362,317
NL322,Alkmaar en omgeving,1999,10212,219,401,3209,182,7223,154,11041,2937,1223,11771,172168,48740,48572,168
NL323,Ijmond,1999,7630,211,292,2136,318,5117,177,8774,1522,1131,7698,130255,35121,35006,115
NL324,Agglomeratie Haarlem,1999,9284,163,370,3792,257,8202,153,10979,2074,1466,14612,168266,51562,51352,210
NL325,Zaanstreek,1999,4815,208,195,1592,156,4588,400,7686,1948,1120,5726,113491,28550,28434,116
NL326,Groot Amsterdam,1999,29213,1395,1752,18111,1192,44379,3407,55161,12541,5401,48889,847584,223117,221441,1676
NL327,Het Gooi en Vechtstreek,1999,11028,269,399,4605,299,7896,299,10969,2066,3991,17574,177592,59619,59395,224
NL331,Aggl. Leiden en Bollenstreek,1999,21292,362,613,6768,337,12952,246,15729,4302,8192,22730,285619,94044,93523,521
NL332,Agglomeratie 's-Gravenhage,1999,27908,904,1266,15498,816,19101,366,28657,8033,6450,43225,538657,153781,152224,1557
NL333,Delft en Westland,1999,16688,243,354,3334,175,6363,123,8548,1816,3942,11755,170610,53907,53341,566
NL334,Oost-Zuid-Holland,1999,17813,404,531,4356,299,7604,185,12300,3004,13221,16577,235291,76613,76294,319
NL335,Groot Rijnmond,1999,47114,2150,2230,15047,1551,26373,493,58403,15202,32100,50325,983504,252679,250988,1691
NL336,Zuidoost-Zuid-Holland,1999,20779,592,447,3920,222,7481,127,18454,3207,23794,15861,302643,95127,94884,243
NL341,Zeeuwsch-Vlaanderen,1999,5614,166,108,2986,369,1473,48,3916,592,2191,3589,79632,21126,21052,74
