NUTSID,NUTSName,Year,CDA,PvdA,VVD,GL,CUSGP,D66,SP,DemEur,LEEFBE,PvhN,NieuwR,EutTr,LPF,PvdD,Respect,Electorate,Votes,Validvotes,Invalidvotes
NL111,Oost-Groningen,2004,9057,19008,4559,1960,2350,869,2986,27,49,1775,64,1580,782,1089,43,119809,46262,46198,64
NL112,Delfzijl en omgeving,2004,3676,5123,1251,688,994,298,886,12,13,842,31,725,225,353,9,40270,15138,15126,12
NL113,Overig Groningen,2004,22097,38729,14008,13548,10673,6201,11028,205,93,3664,175,5704,1741,3511,87,286696,131804,131464,340
NL121,Noord-Friesland,2004,29260,31329,9379,6317,5503,2626,5839,89,109,2849,240,6007,1568,2421,66,251394,103766,103602,164
NL122,Zuidwest-Friesland,2004,10962,8455,3418,1738,1164,778,1729,44,39,835,76,2207,508,783,29,78876,32801,32765,36
NL123,Zuidoost-Friesland,2004,16327,22254,6836,3416,3793,1661,3725,55,69,1394,102,3706,1089,1508,38,155850,66058,65973,85
NL131,Noord-Drenthe,2004,12132,21925,10005,4468,3677,2399,3561,60,49,1547,120,3444,1029,1557,43,140022,66123,66016,107
NL132,Zuidoost-Drenthe,2004,12263,19325,6061,2280,1419,1273,2578,38,65,1090,73,2769,821,1093,44,131598,51271,51192,79
NL133,Zuidwest-Drenthe,2004,11575,11941,6433,2067,2587,1210,1958,35,46,632,79,2193,780,906,22,97432,42502,42464,38
NL211,Noord-Overijssel,2004,32815,24542,10863,6237,21791,3088,5631,98,138,277,204,5877,1718,2249,84,255075,115780,115612,168
NL212,Zuidwest-Overijssel,2004,12540,12911,5689,3917,1055,1848,2905,70,58,58,87,2630,755,1015,27,109997,45634,45565,69
NL213,Twente,2004,61420,45419,22824,9058,12954,5812,11155,166,260,171,393,11220,3372,3422,176,460897,188210,187822,388
NL221,Veluwe,2004,58073,37757,24980,11991,39099,6900,8745,261,312,178,547,12159,4049,5210,161,477886,210733,210422,311
NL225,Achterhoek,2004,36844,31441,16719,6923,2525,4140,8510,188,197,107,251,7751,2329,2998,98,292427,121182,121021,161
NL226,Arnhem/Nijmegen,2004,48379,54625,23859,22143,3339,9875,18663,336,302,148,567,14688,4188,6684,164,538389,208463,207960,503
NL224,Zuidwest-Gelderland,2004,16304,15715,9537,3853,6663,2144,3408,93,114,40,272,4204,1819,1846,37,169675,66126,66049,77
NL230,Flevoland,2004,17197,22374,15104,6138,8705,4189,6093,143,257,143,368,5959,2887,3289,131,251223,93185,92977,208
NL310,Utrecht,2004,78725,74910,54134,40363,29929,21483,24716,781,673,283,1106,26553,8437,12796,291,864486,376243,375180,1063
NL321,Kop van Noord-Holland,2004,22639,24281,16249,6314,2286,3818,6776,187,267,150,325,9208,3295,3644,146,273197,99783,99585,198
NL322,Alkmaar en omgeving,2004,12306,17838,10097,5929,1166,2970,4806,139,154,89,221,6086,1723,2646,63,169404,66373,66233,140
NL323,IJmond,2004,10992,14199,7453,4450,949,2437,3581,142,138,51,246,4778,1686,2263,63,140283,53530,53428,102
NL324,Agglomeratie Haarlem,2004,11627,16662,12012,7839,1113,4243,5267,474,145,64,242,6159,1685,4215,73,165654,71971,71820,151
NL325,Zaanstreek,2004,5857,13556,5174,4086,894,1627,4023,48,105,66,168,3338,1499,1879,49,115899,42484,42369,115
NL326,Groot-Amsterdam,2004,39829,84670,45754,44003,4757,20194,27831,748,688,308,1003,24586,9388,18420,365,868332,323998,322544,1454
NL327,Het Gooi en Vechtstreek,2004,16389,16546,16071,6944,3088,4961,4770,310,170,83,277,7339,1929,3722,159,183164,82882,82758,124
NL331,Agglomeratie Leiden en Bollenstreek,2004,29038,24351,19246,11430,6536,7712,8005,330,288,95,423,10269,3233,4692,152,289246,126268,125800,468
NL332,Agglomeratie 's-Gravenhage,2004,39630,47704,39165,17653,5762,13410,13119,730,568,204,848,17696,7927,10281,229,576472,215565,214926,639
NL333,Delft en Westland,2004,19255,12296,9516,5185,2885,3714,3509,110,223,38,208,4308,2782,1828,56,156242,66169,65913,256
NL334,Oost-Zuid-Holland,2004,24316,19136,14883,6307,12222,4478,5771,157,204,68,478,7404,3134,3257,119,237687,102182,101934,248
NL335,Groot-Rijnmond,2004,61117,94319,44891,21407,28795,14285,25970,583,1206,276,2347,26949,17855,13111,333,1005296,354411,353444,967
NL336,Zuidoost-Zuid-Holland,2004,26923,26337,13433,5161,21668,3416,6958,140,218,81,479,7544,3739,3356,88,295681,119755,119541,214
NL341,Zeeuwsch-Vlaanderen,2004,7179,6569,3611,1109,2020,1965,1526,56,70,16,149,3294,762,948,57,80243,29394,29331,63
NL342,Overig Zeeland,2004,17792,16366,11394,4384,16466,2720,4596,136,175,50,300,6493,1891,3608,88,204665,86579,86459,120
NL411,West-Noord-Brabant,2004,37665,32948,21470,8378,1640,6187,11097,252,355,86,688,22864,4609,4287,179,458779,153160,152705,455
NL412,Midden-Noord-Brabant,2004,33550,23971,14379,7016,5165,4372,11595,197,224,62,485,10652,2737,2837,149,340146,117694,117391,303
NL413,Noordoost-Noord-Brabant,2004,59692,35505,21392,10025,962,6744,20570,517,317,127,594,14309,3763,3998,172,471048,179083,178687,396
NL414,Zuidoost-Noord-Brabant,2004,56902,40199,33764,11593,1758,8444,17006,481,396,119,704,17702,4696,4611,163,545708,199196,198538,658
NL421,Noord-Limburg,2004,34232,12764,6630,3326,297,1980,4263,65,100,34,168,4181,1321,1301,63,207759,70863,70725,138
NL422,Midden-Limburg,2004,32519,10971,5613,2518,276,1612,3683,77,56,26,166,3952,1090,1397,62,178387,64107,64018,89
NL423,Zuid-Limburg,2004,75336,35578,11342,10039,955,4419,13488,200,234,108,458,10669,2668,4401,225,483584,170393,170120,273
NL11,Groningen,2004,34830,62860,19818,16196,14017,7368,14900,244,155,6281,270,8009,2748,4953,139,446775,193204,192788,416
NL12,Friesland,2004,56549,62038,19633,11471,10460,5065,11293,188,217,5078,418,11920,3165,4712,133,486120,202625,202340,285
NL13,Drenthe,2004,35970,53191,22499,8815,7683,4882,8097,133,160,3269,272,8406,2630,3556,109,369052,159896,159672,224
NL21,Overijssel,2004,106775,82872,39376,19212,35800,10748,19691,334,456,506,684,19727,5845,6686,287,825969,349624,348999,625
NL22,Gelderland,2004,159600,139538,75095,44910,51626,23059,39326,878,925,473,1637,38802,12385,16738,460,1478377,606504,605452,1052
NL23,Flevoland,2004,17197,22374,15104,6138,8705,4189,6093,143,257,143,368,5959,2887,3289,131,251223,93185,92977,208
NL31,Utrecht,2004,78725,74910,54134,40363,29929,21483,24716,781,673,283,1106,26553,8437,12796,291,864486,376243,375180,1063
NL32,Noord-Holland,2004,119639,187752,112810,79565,14253,40250,57054,2048,1667,811,2482,61494,21205,36789,918,1915933,741021,738737,2284
NL33,Zuid-Holland,2004,200279,224143,141134,67143,77868,47015,63332,2050,2707,762,4783,74170,38670,36525,977,2560624,984350,981558,2792
NL34,Zeeland,2004,24971,22935,15005,5493,18486,4685,6122,192,245,66,449,9787,2653,4556,145,284908,115973,115790,183
NL41,Noord-Brabant,2004,187809,132623,91005,37012,9525,25747,60268,1447,1292,394,2471,65527,15805,15733,663,1815681,649133,647321,1812
NL42,Limburg,2004,142087,59313,23585,15883,1528,8011,21434,342,390,168,792,18802,5079,7099,350,869730,305363,304863,500
NL1,Noord-Nederland ,2004,127349,178089,61950,36482,32160,17315,34290,565,532,14628,960,28335,8543,13221,381,1301947,555725,554800,925
NL2,Oost-Nederland ,2004,283572,244784,129575,70260,96131,37996,65110,1355,1638,1122,2689,64488,21117,26713,878,2555569,1049313,1047428,1885
NL3,West-Nederland ,2004,423614,509740,323083,192564,140536,113433,151224,5071,5292,1922,8820,172004,70965,90666,2331,5625951,2217587,2211265,6322
NL4,Zuid-Nederland ,2004,329896,191936,114590,52895,11053,33758,81702,1789,1682,562,3263,84329,20884,22832,1013,2685411,954496,952184,2312
NL,NETHERLANDS,2004,1164431,1124549,629198,352201,279880,202502,332326,8780,9144,18234,15732,349156,121509,153432,4603,12168878,4777121,4765677,11444
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,
