NUTSID,NUTSName,CDA,PVV,PvdA,VVD,D66,GL,SP,CUSGP,PvdD,EKP,Newropeans,Libertas,LDP,DG,Solidara,EVD,PEP,Electorate,Votes,Validvotes,Ongeldigestemmen,Blancostemmen
NL111,Oost-Groningen,6970,6590,7715,3031,2037,2215,3539,2486,1347,171,101,80,56,38,51,38,16,119800,36614,36481,67,66
NL112,Delfzijl en omgeving,2812,1740,2428,1000,817,745,1020,1063,374,57,24,25,14,20,14,9,5,38734,12208,12167,15,26
NL113,Overig Groningen,17783,10888,20007,10839,14701,15209,9474,10837,3965,466,583,315,287,233,170,78,51,292486,116345,115886,182,277
NL121,Noord-Friesland,24810,10467,16131,7515,6974,7194,6832,6408,2673,589,280,161,132,158,96,53,36,255380,90798,90509,131,158
NL122,Zuidwest-Friesland,9683,3806,4723,2831,2461,2036,2113,1452,880,226,70,68,39,53,31,21,8,80667,30600,30501,45,54
NL123,Zuidoost-Friesland,14111,7016,11967,5576,4518,4106,4412,4494,1725,359,146,128,87,76,80,45,35,159628,59072,58881,114,77
NL131,Noord-Drenthe,10212,6980,11495,7387,5932,5471,3896,3805,1815,290,162,125,88,93,64,33,25,145266,58060,57873,94,93
NL132,Zuidoost-Drenthe,9935,7163,8516,4473,3009,2564,3133,1636,1366,198,106,96,65,59,41,30,15,133096,42535,42405,69,61
NL133,Zuidwest-Drenthe,9347,5567,5939,4971,2945,2490,2293,2957,1067,160,100,91,48,54,24,27,9,100339,38206,38089,55,62
NL211,Noord-Overijssel,26746,11631,11238,8382,7388,7117,5773,22038,2470,340,306,240,148,184,357,61,36,265517,104747,104455,134,158
NL212,Zuidwest-Overijssel,9993,4704,6266,4299,4814,4235,3215,1308,1227,155,191,96,74,112,143,44,12,113996,41023,40888,59,76
NL213,Twente,44909,23108,19676,16297,14475,10155,10825,13019,3667,622,534,363,343,299,248,116,86,468825,159407,158742,312,353
NL221,Veluwe,44650,28095,18527,19957,16789,12624,8826,44630,5228,782,680,456,347,289,229,139,73,490625,202915,202321,281,313
NL224,Zuidwest-Gelderland,12431,12545,7319,7720,5529,4434,3442,8140,1746,235,217,177,157,104,78,52,37,173638,64564,64363,105,96
NL225,Achterhoek,31054,14963,15524,13383,10919,8635,9468,2998,3244,467,347,258,205,232,96,76,65,309096,112258,111934,167,157
NL226,Arnhem/Nijmegen,37140,26936,25668,19600,27466,25716,18179,5087,6576,855,958,598,436,494,346,234,89,547839,197136,196378,324,434
NL230,Flevoland,14791,20373,10122,11036,9113,6642,6290,8324,3866,494,406,331,205,152,173,111,58,272353,92905,92487,254,164
NL310,Utrecht,61916,55420,40851,45266,56783,45298,21990,34883,12519,1454,1940,1356,1076,721,523,316,173,907064,384018,382485,570,963
NL321,Kop van Noord-Holland,18671,19293,11406,13212,8922,7311,7318,2796,4014,720,368,362,200,198,110,127,53,280159,95448,95081,134,233
NL322,Alkmaar en omgeving,9914,11016,8577,8402,7701,6974,5096,1366,2923,410,377,266,166,186,87,81,50,174881,63811,63592,104,115
NL323,IJmond,8660,10396,7169,6318,5829,5000,3714,1079,2169,354,348,167,137,117,81,74,18,145332,51809,51630,68,111
NL324,Agglomeratie Haarlem,8262,10245,8396,9761,12167,8568,4796,1242,3444,290,386,260,354,195,88,64,33,166149,68809,68551,117,141
NL325,Zaanstreek,4443,8405,6494,3993,4041,4037,3844,1080,2055,225,147,146,71,85,81,55,29,119852,39397,39231,94,72
NL326,Groot-Amsterdam,29650,57474,45178,39184,59617,51903,25023,6041,16644,1529,2236,1203,1023,1046,1036,433,194,900794,341156,339414,999,743
NL327,Het Gooi en Vechtstreek,11534,13592,8343,13837,12719,7231,4760,3190,3318,441,325,328,267,156,71,79,44,183671,80522,80235,117,170
NL331,Agglomeratie Leiden en Bollenstreek,20962,18285,11925,15614,18140,12182,6513,7046,4447,552,612,420,398,213,133,108,70,283240,118151,117620,220,311
