NUTSID,NUTSName,Year,PD,PNL,PSD,UDMR,PLD,LASZLO,PRM,PC,PNCD,PR,PV,PIN,PNGCD,PAS,Validvotes
RO111,Bihor,2007,50504,22299,20938,30069,4590,16609,6673,3040,1500,1208,446,2768,5971,743,167358
RO112,Bistrita-Nasaud,2007,25069,8066,18186,4756,4514,1201,3889,2248,1548,1649,209,2094,2485,491,76405
RO113,Cluj,2007,56756,17187,25193,23843,7882,10538,7828,2524,2438,1859,685,5662,4483,934,167812
RO114,Maramures,2007,27809,16451,22419,7643,8941,3429,5245,3084,2534,1088,286,3472,5936,472,108809
RO115,Satu Mare,2007,17371,9493,15321,24663,3034,9143,2130,667,1000,388,175,1132,2742,398,87657
RO116,Salaj,2007,15268,7319,14492,16408,2660,4900,2613,1815,1600,484,153,1378,1817,418,71325
RO121,Alba,2007,36009,15349,15619,4240,5707,1260,3465,2073,1905,1359,321,2451,4161,501,94420
RO122,Brasov,2007,47152,18455,22859,11192,10181,2876,5237,2965,2381,1588,769,4186,9046,649,139536
RO123,Covasna,2007,4764,1428,3842,20091,756,32028,1346,646,171,358,122,429,586,484,67051
RO124,Harghita,2007,3631,1408,3859,50469,1125,49680,1297,514,188,1093,119,458,472,720,115033
RO125,Mures,2007,24815,10943,18748,55179,4866,20006,8661,2703,1003,2813,373,2689,4822,808,158429
RO126,Sibiu,2007,35987,12725,18698,2786,12341,882,3154,2211,2269,1165,565,2907,3458,466,99614
RO211,Bacau,2007,46664,26122,49564,986,12754,1430,7185,5877,1336,1748,556,3966,7354,1401,166943
RO212,Botosani,2007,21059,23539,33297,263,8340,862,6249,3295,860,922,274,1727,6058,1200,107945
RO213,Iasi,2007,52083,31553,57480,334,19976,1475,7876,4177,1526,1140,658,5209,8835,1723,194045
RO214,Neamt,2007,30160,19408,41078,195,28334,1048,6633,2787,978,1396,451,2750,4907,1098,141223
RO215,Suceava,2007,36167,21992,50815,576,30327,969,6933,2947,2119,1707,489,2683,10433,845,169002
RO216,Vaslui,2007,23952,18329,40124,167,5832,1000,6578,2621,688,928,268,1864,6190,1202,109743
RO221,Braila,2007,21062,8641,23718,226,7923,356,4029,3452,773,1071,392,3538,5192,418,80791
RO222,Buzau,2007,41911,16383,28785,252,6382,450,4813,3445,1122,2043,463,3568,6434,625,116676
RO223,Constanta,2007,57673,24444,42422,349,21062,738,6199,2369,2454,2211,762,5869,8276,618,175446
RO224,Galati,2007,37973,17225,40756,524,9111,655,4617,18054,1280,3065,1536,4451,8578,788,148613
RO225,Tulcea,2007,19827,7410,12161,136,5122,224,2697,672,677,544,239,1712,2980,248,54649
RO226,Vrancea,2007,26902,18870,35694,155,5840,841,3089,1566,768,1167,242,2504,4906,1026,103570
RO311,Arges,2007,33321,16306,46134,225,11206,477,6954,4711,1659,1879,400,3064,9556,668,136560
RO312,Calarasi,2007,19306,15490,13898,147,2259,499,2729,3065,2029,1755,226,1256,3644,495,66798
RO313,Dambovita,2007,28754,9992,40525,248,24249,378,4209,2395,1203,3113,605,2160,7494,446,125771
RO314,Giurgiu,2007,20100,15551,14882,87,6588,342,1722,586,769,491,133,918,2425,477,65071
RO315,Ialomita,2007,20038,7892,17604,158,3893,254,2282,1322,757,890,212,1401,4065,341,61109
RO316,Prahova,2007,57685,19406,32507,579,11671,729,6455,14740,2109,2031,824,4061,13067,567,166431
RO317,Teleorman,2007,25570,27083,44157,288,5898,386,4913,4032,968,1487,314,1796,5876,527,123295
RO321,Bucuresti,2007,153712,51596,62189,2359,37881,3352,15431,8697,9220,2025,2738,15592,22922,1285,388999
RO322,Ilfov,2007,23039,11619,11005,109,2981,245,2352,1595,550,1398,207,1112,6659,257,63128
RO411,Dolj,2007,53754,19239,53514,506,9947,474,8573,6124,3063,2407,518,3261,8117,992,170489
RO412,Gorj,2007,24758,9489,21184,412,4728,240,6951,2322,820,1610,214,1424,5939,410,80501
RO413,Mehedinti,2007,24048,17565,14872,352,4195,181,3274,1864,812,1130,173,2400,3591,375,74832
RO414,Olt,2007,40973,14913,49717,339,4804,289,4583,1922,1246,1668,267,3287,5330,517,129855
