NUTSID,NUTSName,PNL,UDMR,PDL,PSDPC,PNTCD,FC,PRM,ELENA,PAVEL,Electorate,Votes,Validvotes,Invalidvotes
RO111,Bihor,30439,44948,38619,29496,1929,449,12059,3961,1311,504590,167372,163211,4161
RO112,Bistrita-Nasaud,7789,5186,30469,28694,1127,374,4921,3071,666,257506,84823,82297,2523
RO113,Cluj,15882,33525,46182,29522,2896,687,11374,6802,2033,593624,153049,148903,4144
RO114,Maramures,16010,9650,28616,24475,2068,869,9366,4925,965,423761,100135,96944,3184
RO115,Satu Mare,10720,37516,18760,19529,1433,240,3382,2312,728,317464,97623,94620,3003
RO116,Salaj,7712,22116,17910,18953,1124,172,3917,2078,852,201681,76951,74834,2117
RO121,Alba,13272,4680,41087,20665,1780,465,6282,3452,737,319042,95856,92420,3436
RO122,Brasov,23475,12062,40070,27179,1835,695,8352,5333,1187,514554,125844,120188,5539
RO123,Covasna,1385,53315,2892,4009,222,144,1283,926,517,184176,66425,64693,1732
RO124,Hargita,1195,97164,2390,3698,280,236,1497,1382,846,270993,110888,108688,2200
RO125,Mures,12019,74516,19979,23776,1544,498,12634,4711,1419,484272,155686,151096,4590
RO126,Sibiu,9840,2524,25605,24197,1246,331,6128,4486,1107,372249,78864,75464,3400
RO211,Bacau,28389,1025,39601,43303,1733,749,12367,6367,2281,594687,143691,135815,7875
RO212,Botosani,19720,319,35690,34868,1134,362,9810,3764,1168,366357,112676,106835,5840
RO213,Iasi,24670,339,35700,53298,1940,983,13282,8996,2427,671046,149705,141635,7898
RO214,Neamt,11450,232,56406,43074,1783,542,11635,7899,1544,469268,142873,134565,8308
RO215,Suceava,14567,587,52318,38164,2175,524,12746,9894,1455,564431,138949,132430,6519
RO216,Vaslui,14681,218,18416,41738,732,371,7267,3366,976,364849,92963,87765,5196
RO221,Braila,8216,148,15997,26931,604,441,8677,3652,1097,311855,69057,65763,3294
RO222,Buzau,22247,247,37096,35550,1003,508,10125,3618,996,407002,116302,111390,4910
RO223,Constanta,18297,358,36080,44904,2880,849,15229,9316,1712,626593,135694,129625,6068
RO224,Galati,23302,390,36118,56869,1396,390,9369,4876,1277,519394,140219,133987,6232
RO225,Tulcea,6521,96,17696,13000,530,267,4059,2443,600,207748,47519,45212,2282
RO226,Vrancea,14188,174,19500,44489,839,338,7337,3596,1304,317752,96248,91765,4481
RO311,Arges,17545,194,36311,57845,1998,410,19075,4989,1274,544817,144285,139641,4639
RO312,Calarasi,14593,316,21775,19379,3918,319,6122,2443,1050,263200,73845,69915,3926
RO313,Dambovita,11488,240,58579,69545,1185,375,12268,6886,1117,432613,169805,161683,8119
RO314,Giurgiu,21015,159,37134,25474,903,264,5280,2398,716,231674,96771,93343,3428
RO315,Ialomita,5868,106,14760,23232,863,180,4356,1984,504,242180,54050,51853,2197
RO316,Prahova,27336,370,61349,41032,2271,1204,18628,12552,2089,686790,174309,166831,7478
RO317,Teleorman,29976,232,37066,86018,988,337,7706,2831,1273,347866,171865,166427,5437
RO321,Bucuresti,47478,1504,78441,77561,7380,1298,44471,14829,3627,1764920,288091,276589,11482
RO322,Ilfov,23305,203,39294,20496,596,219,9379,3160,815,259140,101458,97467,3990
RO411,Dolj,17027,316,60070,64405,2968,498,12795,5088,1128,592215,169757,164295,5434
RO412,Gorj,13194,567,27818,31189,1022,309,12541,3801,592,303996,94265,91033,3230
RO413,Mehedinti,13416,365,31699,32955,882,128,6893,2226,430,246430,91804,88994,2808
