NUTSID,NUTSName,Year,SMKMKP,ANO,SDKU,MFS,ZS_SR,DU,KSS,SF,SNS_PSNS,SLS,AZ_OS,SMER,LS_HZDS,KDH,HZD_LU,OKS,RLDH,Electorate,Votes,Validvotes,Invalidvotes
SK010,Bratislavsky kraj,2004,8311,5408,24381,115,482,462,3605,6039,1854,134,747,16184,15178,15232,1051,2411,100,510324,103096,101694,1402
SK021,Trnavsky kraj,2004,19313,2272,9503,228,219,87,2299,1531,1048,119,312,8827,9426,10240,691,471,67,437851,67704,66653,1051
SK022,Trenciansky kraj,2004,531,3631,11866,23,276,102,4078,1990,2021,128,522,15605,22008,13007,838,633,75,476379,78647,77334,1313
SK023,Nitransky kraj,2004,33182,3227,10016,689,199,132,3105,2025,2083,138,383,13507,15211,10185,747,632,117,565652,97270,95578,1692
SK031,Zilinsky kraj,2004,570,3859,14961,28,313,156,4238,2340,2575,211,497,16803,19006,20381,1242,774,87,530094,89480,88041,1439
SK032,Banskobystricky kraj,2004,12629,4810,13258,187,264,155,4866,2496,2057,226,505,19063,15674,8468,1083,859,844,517823,88899,87444,1455
SK041,Presovsky kraj,2004,1000,4463,20030,53,465,122,5254,2576,1306,139,1048,14304,12791,23554,3826,617,1497,581736,94785,93045,1740
SK042,Kosicky kraj,2004,17391,4983,15939,275,246,138,4463,3807,1206,146,926,14242,10288,12588,2436,663,2069,590604,93427,91806,1621
SK01,Bratislavsky kraj,2004,8311,5408,24381,115,482,462,3605,6039,1854,134,747,16184,15178,15232,1051,2411,100,510324,103096,101694,1402
SK02,Zapadne Slovensko,2004,53026,9130,31385,940,694,321,9482,5546,5152,385,1217,37939,46645,33432,2276,1736,259,1479882,243621,239565,4056
SK03,Stredne Slovensko,2004,13199,8669,28219,215,577,311,9104,4836,4632,437,1002,35866,34680,28849,2325,1633,931,1047917,178379,175485,2894
SK04,Vychodne Slovensko,2004,18391,9446,35969,328,711,260,9717,6383,2512,285,1974,28546,23079,36142,6262,1280,3566,1172340,188212,184851,3361
SK0,Slovenska Republika,2004,92927,32653,119954,1598,2464,1354,31908,22804,14150,1241,4940,118535,119582,113655,11914,7060,4856,4210463,713308,701595,11713
SK,SLOVAKIA,2004,92927,32653,119954,1598,2464,1354,31908,22804,14150,1241,4940,118535,119582,113655,11914,7060,4856,4210463,713308,701595,11713
