NUTSID,SMER,SDKU_DS,SMK_MKP,KDH,LS_HZDS,SNS,SaS,SZ,KDS_OKS,KSS,SF,SDL,ASV,Misia21,DS,LIGA,Electorate,Votes,Validvotes
SK010,31280,34064,5141,10251,7078,5171,12332,5335,4416,1151,2004,556,804,99,381,347,534181,123300,120410
SK021,20627,12010,24778,7716,5741,3121,3207,1238,1408,909,654,295,330,75,155,222,454475,84874,82486
SK022,37324,12905,118,10034,12917,6483,4259,1801,1560,1897,1353,407,333,154,231,541,489305,95715,92317
SK023,32274,12978,36307,7204,9258,5317,3241,1738,1441,1221,1477,368,792,146,204,208,576190,117801,114174
SK031,36565,15003,97,17948,10894,9155,4816,1669,2153,1693,1434,386,335,138,233,133,547653,106193,102652
SK032,39469,15987,12733,6374,10114,7590,3843,2367,1345,2114,2153,685,445,373,214,250,525972,109531,106056
SK041,35733,18993,250,20191,9714,4887,3749,1454,2713,2384,2105,984,400,2043,425,382,607624,110357,106407
SK042,31450,18486,14326,10187,8525,4236,3569,1880,2373,2274,1883,1477,282,487,555,290,610373,105762,102280
SK01,31280,34064,5141,10251,7078,5171,12332,5335,4416,1151,2004,556,804,99,381,347,534181,123300,120410
SK02,90225,37893,61203,24954,27916,14921,10707,4777,4409,4027,3484,1070,1455,375,590,971,1519970,298390,288977
SK03,76034,30990,12830,24322,21008,16745,8659,4036,3498,3807,3587,1071,780,511,447,383,1073625,215724,208708
SK04,67183,37479,14576,30378,18239,9123,7318,3334,5086,4658,3988,2461,682,2530,980,672,1217997,216119,208687
SK0,264722,140426,93750,89905,74241,45960,39016,17482,17409,13643,13063,5158,3721,3515,2398,2373,4345773,853533,826782
SK,264722,140426,93750,89905,74241,45960,39016,17482,17409,13643,13063,5158,3721,3515,2398,2373,4345773,853533,826782
