"","year","member","country","turnout1","turnout2","turnout3","pfamily","party","pname","initials","vote","result","source","seats","seatsum","group"
"1",1995,1995,11,6551781,2727317,41.6271087205143,1,11110,"SWE: Greens                                       ","MP          ",17.2,1,3,4,22,32
"2",1995,1995,11,6551781,2727317,41.6271087205143,2,11220,"SWE: Vp Communists                                ","V           ",12.9,1,3,3,22,50
"3",1995,1995,11,6551781,2727317,41.6271087205143,3,11320,"SWE: SdaP Social Democrats                        ","S           ",28.1,1,3,7,22,20
"4",1995,1995,11,6551781,2727317,41.6271087205143,4,11420,"SWE: FP Liberals                                  ","FP          ",4.8,1,3,1,22,40
"5",1995,1995,11,6551781,2727317,41.6271087205143,5,11520,"SWE: KdS Christian Democrats                      ","KD          ",3.9,1,3,0,22,999
"6",1995,1995,11,6551781,2727317,41.6271087205143,6,11620,"SWE: MSP Conservatives                            ","M           ",23.2,1,3,5,22,11
"7",1995,1995,11,6551781,2727317,41.6271087205143,8,11810,"SWE: Center Party                                 ","CP          ",7.2,1,3,2,22,40
"8",1999,1995,11,6664205,2588514,38.842052427859,1,11110,"SWE: Greens                                       ","MP          ",9.5,1,3,2,22,30
"9",1999,1995,11,6664205,2588514,38.842052427859,2,11220,"SWE: Vp Communists                                ","V           ",15.8,1,3,3,22,50
"10",1999,1995,11,6664205,2588514,38.842052427859,3,11320,"SWE: SdaP Social Democrats                        ","S           ",26,1,3,6,22,20
"11",1999,1995,11,6664205,2588514,38.842052427859,4,11420,"SWE: FP Liberals                                  ","FP          ",13.9,1,3,3,22,40
"12",1999,1995,11,6664205,2588514,38.842052427859,5,11520,"SWE: KdS Christian Democrats                      ","KD          ",7.6,1,3,2,22,10
"13",1999,1995,11,6664205,2588514,38.842052427859,6,11620,"SWE: MSP Conservatives                            ","M           ",20.7,1,3,5,22,10
"14",1999,1995,11,6664205,2588514,38.842052427859,8,11810,"SWE: Center Party                                 ","CP          ",6,1,3,1,22,40
"15",2004,1995,11,6827870,2584464,37.8516872758269,1,11110,"SWE: Greens                                       ","MP          ",6,1,3,1,19,30
"16",2004,1995,11,6827870,2584464,37.8516872758269,2,11220,"SWE: Vp Communists                                ","V           ",12.8,1,3,2,19,50
"17",2004,1995,11,6827870,2584464,37.8516872758269,3,11320,"SWE: SdaP Social Democrats                        ","S           ",24.6,1,3,5,19,20
