"","nation","year.f","year","diff.EUS","avg.EUS","gen.EUS","inst.EUS","pola.index","enop","member.dur","CEE","CEE.f","dummy.11","dummy.13","dummy.14","dummy.31","dummy.32","dummy.33","dummy.34","dummy.35","dummy.36","dummy.37","dummy.41","dummy.42","dummy.51","dummy.53","dummy.80","dummy.82","dummy.86","dummy.87","dummy.88","dummy.92","dummy.93","dummy.96","dummy.97"
"1","11","1995",1995,5.39738181748315,35.4973821989529,45.8638743455497,25.130890052356,4.19387311883195,4.65384615384615,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","11","1999",1999,16.354170875791,32.1541710665259,35.2692713833157,29.039070749736,3.8613945117878,5.5,4,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","11","2004",2004,-1.49028359154458,25.8097165991903,24.5951417004049,27.0242914979757,3.74676529745218,5.91803278688525,9,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","11","2009",2009,11.6950251617242,20.9950248756219,17.8109452736318,24.1791044776119,2.69662336794118,6.44642857142857,14,0,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","13","1979",1979,7.92599618859761,28.8259958071279,27.3584905660377,30.293501048218,2.9042641008448,23.2727272727273,6,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","13","1984",1984,29.6096196868009,33.1096196868009,33.1096196868009,33.1096196868009,2.99065207984327,42.6666666666667,11,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","13","1989",1989,8.36315827620657,27.2631578947368,24.2105263157895,30.3157894736842,3.20589735600668,10.24,16,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","13","1994",1994,9.6061221628773,22.8061224489796,18.5714285714286,27.0408163265306,3.96718174150193,7.11111111111111,21,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","13","1999",1999,10.2954447531058,23.3954451345756,23.9130434782609,22.8778467908903,4.27416659708406,6.73684210526316,26,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","13","2004",2004,6.45238095238095,18.452380952381,14.1865079365079,22.718253968254,4.89289731299695,5.15789473684211,31,0,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
